"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2020","1.0005","1.0003","1.0007","0.9987","130.04M","0.03%"
"Dec 30, 2020","1.0003","0.9976","1.0004","0.9975","112.95M","0.18%"
"Dec 29, 2020","0.9985","0.9986","0.9995","0.9981","118.83M","-0.02%"
"Dec 28, 2020","0.9987","0.9988","0.9995","0.9963","104.90M","-0.02%"
"Dec 27, 2020","0.9988","0.9983","0.9992","0.9954","141.09M","0.05%"
"Dec 26, 2020","0.9983","1.0003","1.0006","0.9982","131.12M","-0.20%"
"Dec 25, 2020","1.0004","1.0002","1.0011","0.9991","104.91M","0.03%"
"Dec 24, 2020","1.0000","0.9990","1.0001","0.9987","100.01M","0.08%"
"Dec 23, 2020","0.9993","0.9996","1.0006","0.9989","166.76M","-0.03%"
"Dec 22, 2020","0.9995","0.9995","1.0004","0.9980","129.23M","-0.03%"
"Dec 21, 2020","0.9998","0.9995","1.0003","0.9979","165.83M","0.03%"
"Dec 20, 2020","0.9995","1.0002","1.0002","0.9991","99.65M","-0.08%"
"Dec 19, 2020","1.0002","1.0008","1.0013","1.0001","74.22M","-0.05%"
"Dec 18, 2020","1.0008","0.9997","1.0009","0.9989","110.61M","0.11%"
"Dec 17, 2020","0.9997","0.9988","1.0004","0.9961","237.32M","0.00%"
"Dec 16, 2020","0.9997","1.0016","1.0022","0.9995","150.50M","-0.13%"
"Dec 15, 2020","1.0010","0.9999","1.0014","0.9999","86.61M","0.11%"
"Dec 14, 2020","1.0000","1.0004","1.0009","0.9997","52.08M","-0.01%"
"Dec 13, 2020","1.0000","1.0005","1.0008","0.9996","52.53M","-0.05%"
"Dec 12, 2020","1.0005","1.0005","1.0016","1.0003","41.86M","-0.01%"
"Dec 11, 2020","1.0006","1.0003","1.0012","0.9999","101.92M","0.03%"
"Dec 10, 2020","1.0003","1.0004","1.0013","0.9998","87.19M","-0.01%"
"Dec 09, 2020","1.0004","0.9997","1.0036","0.9997","152.86M","0.07%"
"Dec 08, 2020","0.9997","1.0005","1.0012","0.9995","101.15M","-0.09%"
"Dec 07, 2020","1.0005","1.0013","1.0017","1.0001","64.65M","-0.08%"
"Dec 06, 2020","1.0013","1.0006","1.0014","1.0001","38.03M","0.07%"
"Dec 05, 2020","1.0006","1.0002","1.0007","0.9997","39.48M","0.04%"
"Dec 04, 2020","1.0002","1.0008","1.0015","0.9995","104.14M","-0.06%"
"Dec 03, 2020","1.0008","1.0005","1.0016","1.0004","99.30M","0.03%"
"Dec 02, 2020","1.0005","1.0016","1.0028","1.0003","102.20M","-0.10%"
"Dec 01, 2020","1.0016","1.0003","1.0027","0.9994","113.00M","0.12%"
"Nov 30, 2020","1.0004","1.0009","1.0016","0.9999","95.91M","-0.05%"
"Nov 29, 2020","1.0009","1.0010","1.0019","1.0005","33.93M","-0.01%"
"Nov 28, 2020","1.0010","1.0020","1.0025","1.0009","48.51M","-0.04%"
"Nov 27, 2020","1.0014","1.0025","1.0036","1.0010","84.50M","-0.11%"
"Nov 26, 2020","1.0025","1.0000","1.0033","0.9996","148.78M","0.25%"
"Nov 25, 2020","1.0000","0.9995","1.0013","0.9985","98.70M","0.05%"
"Nov 24, 2020","0.9995","0.9994","1.0013","0.9989","142.31M","-0.04%"
"Nov 23, 2020","0.9999","0.9989","1.0006","0.9983","113.98M","0.10%"
"Nov 22, 2020","0.9989","0.9984","1.0006","0.9972","102.72M","0.05%"
"Nov 21, 2020","0.9984","1.0000","1.0002","0.9983","93.84M","-0.19%"
"Nov 20, 2020","1.0003","1.0006","1.0010","0.9999","84.33M","-0.04%"
"Nov 19, 2020","1.0006","0.9998","1.0009","0.9994","65.32M","0.05%"
"Nov 18, 2020","1.0002","1.0007","1.0333","0.9994","102.79M","-0.06%"
"Nov 17, 2020","1.0007","1.0004","1.0008","0.9995","70.77M","0.03%"
"Nov 16, 2020","1.0004","1.0007","1.0010","1.0001","53.79M","-0.02%"
"Nov 15, 2020","1.0006","1.0002","1.0009","0.9996","31.08M","0.04%"
"Nov 14, 2020","1.0002","0.9996","1.0002","0.9984","43.82M","0.00%"
"Nov 13, 2020","1.0002","1.0004","1.0010","0.9998","60.20M","-0.01%"
"Nov 12, 2020","1.0003","1.0011","1.0016","1.0002","58.76M","-0.08%"
"Nov 11, 2020","1.0011","1.0012","1.0019","1.0007","51.12M","-0.01%"
"Nov 10, 2020","1.0012","1.0004","1.0014","1.0002","49.90M","0.07%"
"Nov 09, 2020","1.0004","1.0010","1.0018","1.0003","49.14M","-0.06%"
"Nov 08, 2020","1.0010","1.0016","1.0022","1.0003","33.24M","-0.06%"
"Nov 07, 2020","1.0016","1.0000","1.0024","0.9991","67.86M","0.16%"
"Nov 06, 2020","1.0000","1.0002","1.0004","0.9980","85.32M","-0.01%"
"Nov 05, 2020","1.0002","1.0010","1.0010","1.0002","72.67M","-0.09%"
"Nov 04, 2020","1.0010","1.0006","1.0012","0.9998","41.72M","0.05%"
"Nov 03, 2020","1.0006","1.0005","1.0009","0.9997","42.24M","0.01%"
"Nov 02, 2020","1.0005","0.9999","1.0007","0.9999","36.69M","0.03%"
"Nov 01, 2020","1.0002","1.0001","1.0005","0.9998","15.04M","0.01%"
"Oct 31, 2020","1.0001","1.0008","1.0009","0.9998","28.61M","-0.07%"
"Oct 30, 2020","1.0008","1.0002","1.0010","0.9999","39.39M","0.06%"
"Oct 29, 2020","1.0002","1.0000","1.0007","0.9999","33.51M","-0.01%"
"Oct 28, 2020","1.0003","1.0000","1.0006","0.9999","34.56M","0.00%"
