"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","0.0328","0.0334","0.0338","0.0328","283.85M","-1.75%"
"Dec 30, 2019","0.0334","0.0341","0.0344","0.0331","226.84M","-2.13%"
"Dec 29, 2019","0.0341","0.0337","0.0346","0.0333","262.25M","1.41%"
"Dec 28, 2019","0.0337","0.0329","0.0342","0.0328","258.97M","2.33%"
"Dec 27, 2019","0.0329","0.0342","0.0344","0.0316","510.62M","-3.68%"
"Dec 26, 2019","0.0342","0.0334","0.0349","0.0333","328.87M","2.32%"
"Dec 25, 2019","0.0334","0.0339","0.0340","0.0329","229.21M","-1.48%"
"Dec 24, 2019","0.0339","0.0331","0.0345","0.0328","341.10M","2.28%"
"Dec 23, 2019","0.0331","0.0344","0.0345","0.0329","396.35M","-3.66%"
"Dec 22, 2019","0.0344","0.0330","0.0345","0.0330","218.15M","4.04%"
"Dec 21, 2019","0.0330","0.0339","0.0339","0.0328","169.62M","-2.44%"
"Dec 20, 2019","0.0339","0.0330","0.0339","0.0326","257.04M","2.57%"
"Dec 19, 2019","0.0330","0.0343","0.0347","0.0329","400.61M","-3.83%"
"Dec 18, 2019","0.0343","0.0317","0.0346","0.0304","549.02M","8.48%"
"Dec 17, 2019","0.0317","0.0341","0.0341","0.0312","500.28M","-7.19%"
"Dec 16, 2019","0.0341","0.0365","0.0365","0.0333","312.31M","-6.51%"
"Dec 15, 2019","0.0365","0.0362","0.0366","0.0358","188.09M","0.66%"
"Dec 14, 2019","0.0362","0.0372","0.0373","0.0358","312.63M","-2.54%"
"Dec 13, 2019","0.0372","0.0365","0.0374","0.0364","287.93M","1.82%"
"Dec 12, 2019","0.0365","0.0366","0.0369","0.0360","402.50M","-0.29%"
"Dec 11, 2019","0.0366","0.0363","0.0371","0.0361","566.25M","0.79%"
"Dec 10, 2019","0.0363","0.0372","0.0374","0.0361","290.58M","-2.37%"
"Dec 09, 2019","0.0372","0.0387","0.0388","0.0370","255.14M","-3.91%"
"Dec 08, 2019","0.0387","0.0384","0.0389","0.0380","166.10M","0.77%"
"Dec 07, 2019","0.0384","0.0383","0.0391","0.0380","212.59M","0.49%"
"Dec 06, 2019","0.0383","0.0376","0.0383","0.0372","212.55M","1.79%"
"Dec 05, 2019","0.0376","0.0371","0.0381","0.0368","268.21M","1.33%"
"Dec 04, 2019","0.0371","0.0377","0.0386","0.0362","390.48M","-1.72%"
"Dec 03, 2019","0.0377","0.0380","0.0387","0.0374","230.95M","-0.61%"
"Dec 02, 2019","0.0380","0.0395","0.0396","0.0374","287.19M","-3.98%"
"Dec 01, 2019","0.0395","0.0404","0.0404","0.0382","363.35M","-2.01%"
"Nov 30, 2019","0.0404","0.0413","0.0421","0.0398","411.33M","-2.22%"
"Nov 29, 2019","0.0413","0.0390","0.0420","0.0390","619.74M","5.70%"
"Nov 28, 2019","0.0390","0.0390","0.0398","0.0383","342.32M","0.00%"
"Nov 27, 2019","0.0390","0.0367","0.0398","0.0352","435.82M","6.40%"
"Nov 26, 2019","0.0367","0.0359","0.0371","0.0354","353.85M","2.15%"
"Nov 25, 2019","0.0359","0.0350","0.0373","0.0330","643.27M","2.54%"
"Nov 24, 2019","0.0350","0.0379","0.0386","0.0349","451.52M","-7.61%"
"Nov 23, 2019","0.0379","0.0370","0.0383","0.0365","344.92M","2.40%"
"Nov 22, 2019","0.0370","0.0384","0.0386","0.0342","646.32M","-3.55%"
"Nov 21, 2019","0.0384","0.0409","0.0411","0.0373","353.35M","-6.15%"
"Nov 20, 2019","0.0409","0.0422","0.0423","0.0403","361.21M","-3.02%"
"Nov 19, 2019","0.0422","0.0432","0.0434","0.0411","447.03M","-2.35%"
"Nov 18, 2019","0.0432","0.0450","0.0461","0.0429","544.27M","-4.08%"
"Nov 17, 2019","0.0450","0.0439","0.0458","0.0431","324.44M","2.56%"
"Nov 16, 2019","0.0439","0.0439","0.0445","0.0432","300.38M","0.00%"
"Nov 15, 2019","0.0439","0.0428","0.0444","0.0418","346.75M","2.61%"
"Nov 14, 2019","0.0428","0.0433","0.0434","0.0420","199.31M","-1.13%"
"Nov 13, 2019","0.0433","0.0437","0.0439","0.0431","164.09M","-0.93%"
"Nov 12, 2019","0.0437","0.0432","0.0445","0.0430","302.44M","1.18%"
"Nov 11, 2019","0.0432","0.0438","0.0440","0.0423","206.41M","-1.47%"
"Nov 10, 2019","0.0438","0.0424","0.0441","0.0423","251.38M","3.35%"
"Nov 09, 2019","0.0424","0.0422","0.0428","0.0420","134.43M","0.58%"
"Nov 08, 2019","0.0422","0.0434","0.0438","0.0412","291.88M","-2.87%"
"Nov 07, 2019","0.0434","0.0448","0.0449","0.0425","295.29M","-3.07%"
"Nov 06, 2019","0.0448","0.0441","0.0460","0.0436","322.19M","1.48%"
"Nov 05, 2019","0.0441","0.0432","0.0448","0.0430","384.40M","2.26%"
"Nov 04, 2019","0.0432","0.0417","0.0433","0.0414","274.97M","3.50%"
"Nov 03, 2019","0.0417","0.0424","0.0425","0.0413","182.08M","-1.59%"
"Nov 02, 2019","0.0424","0.0421","0.0425","0.0417","257.23M","0.61%"
"Nov 01, 2019","0.0421","0.0413","0.0426","0.0409","342.69M","2.13%"
"Oct 31, 2019","0.0412","0.0417","0.0422","0.0401","455.57M","-1.12%"
"Oct 30, 2019","0.0417","0.0434","0.0444","0.0411","505.89M","-3.86%"
"Oct 29, 2019","0.0434","0.0422","0.0439","0.0421","521.44M","2.83%"
"Oct 28, 2019","0.0422","0.0422","0.0448","0.0419","642.42M","0.00%"
"Oct 27, 2019","0.0422","0.0405","0.0433","0.0395","883.66M","4.20%"
"Oct 26, 2019","0.0405","0.0412","0.0431","0.0394","893.91M","-1.66%"
"Oct 25, 2019","0.0412","0.0373","0.0419","0.0372","536.17M","10.35%"
"Oct 24, 2019","0.0373","0.0363","0.0379","0.0359","260.37M","2.73%"
"Oct 23, 2019","0.0363","0.0386","0.0388","0.0354","316.69M","-5.89%"
"Oct 22, 2019","0.0386","0.0391","0.0400","0.0386","222.17M","-1.36%"
"Oct 21, 2019","0.0391","0.0395","0.0395","0.0385","194.05M","-0.95%"
