"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","13.73","13.88","14.07","13.66","4.23M","-1.12%"
"Dec 30, 2019","13.89","14.12","14.42","13.81","4.79M","-1.62%"
"Dec 29, 2019","14.11","13.71","14.20","13.61","6.46M","2.97%"
"Dec 28, 2019","13.71","13.30","13.78","13.27","5.65M","3.04%"
"Dec 27, 2019","13.30","13.19","13.34","13.00","4.77M","0.83%"
"Dec 26, 2019","13.19","13.04","13.59","13.02","4.59M","1.14%"
"Dec 25, 2019","13.04","13.37","13.43","12.95","4.29M","-2.43%"
"Dec 24, 2019","13.37","13.35","13.65","13.28","4.90M","0.16%"
"Dec 23, 2019","13.35","13.81","14.00","13.25","4.51M","-3.36%"
"Dec 22, 2019","13.81","13.34","13.84","13.30","5.81M","3.55%"
"Dec 21, 2019","13.34","13.53","13.57","13.30","5.86M","-1.62%"
"Dec 20, 2019","13.56","13.36","13.57","13.12","5.73M","1.56%"
"Dec 19, 2019","13.35","13.59","13.76","12.95","4.79M","-1.74%"
"Dec 18, 2019","13.59","12.37","13.68","12.23","6.65M","9.79%"
"Dec 17, 2019","12.37","13.61","13.65","12.15","5.68M","-9.05%"
"Dec 16, 2019","13.61","14.55","14.58","13.47","4.79M","-6.47%"
"Dec 15, 2019","14.55","14.53","14.65","14.33","3.90M","0.09%"
"Dec 14, 2019","14.53","14.91","15.04","14.35","4.20M","-2.50%"
"Dec 13, 2019","14.91","14.83","15.04","14.77","4.28M","0.54%"
"Dec 12, 2019","14.83","14.86","14.94","14.57","3.71M","-0.20%"
"Dec 11, 2019","14.86","15.01","15.12","14.68","3.93M","-1.07%"
"Dec 10, 2019","15.02","15.48","15.49","14.74","4.43M","-2.75%"
"Dec 09, 2019","15.44","15.64","15.91","15.29","4.78M","-1.26%"
"Dec 08, 2019","15.64","15.63","15.86","15.43","5.35M","0.08%"
"Dec 07, 2019","15.63","15.69","15.84","15.56","5.69M","-0.45%"
"Dec 06, 2019","15.70","15.67","15.79","15.35","5.47M","0.17%"
"Dec 05, 2019","15.67","15.16","15.74","14.93","5.72M","3.35%"
"Dec 04, 2019","15.16","15.32","15.71","14.97","5.44M","-1.03%"
"Dec 03, 2019","15.32","15.21","15.53","15.13","4.82M","0.72%"
"Dec 02, 2019","15.21","15.53","15.70","15.14","3.98M","-2.06%"
"Dec 01, 2019","15.53","15.67","15.69","15.01","4.12M","-0.93%"
"Nov 30, 2019","15.68","16.14","16.19","15.42","4.95M","-2.89%"
"Nov 29, 2019","16.14","15.52","16.26","15.46","5.54M","4.02%"
"Nov 28, 2019","15.52","16.03","16.12","15.45","4.28M","-3.17%"
"Nov 27, 2019","16.03","15.48","16.16","14.89","5.80M","3.58%"
"Nov 26, 2019","15.47","15.28","15.98","15.16","4.69M","1.16%"
"Nov 25, 2019","15.30","15.20","15.87","14.15","7.03M","0.60%"
"Nov 24, 2019","15.21","16.29","16.52","15.12","5.43M","-6.65%"
"Nov 23, 2019","16.29","15.58","16.39","15.13","5.60M","4.54%"
"Nov 22, 2019","15.58","16.81","16.81","14.56","8.33M","-7.31%"
"Nov 21, 2019","16.81","18.02","21.68","16.64","4.52M","-6.71%"
"Nov 20, 2019","18.02","18.49","18.70","17.39","3.81M","-2.46%"
"Nov 19, 2019","18.48","19.10","19.39","18.25","3.63M","-3.25%"
"Nov 18, 2019","19.10","20.16","20.16","18.85","3.90M","-5.27%"
"Nov 17, 2019","20.16","20.10","20.33","19.78","3.89M","0.28%"
"Nov 16, 2019","20.10","20.30","20.61","19.85","3.54M","-0.99%"
"Nov 15, 2019","20.31","21.21","21.23","20.07","3.78M","-4.28%"
"Nov 14, 2019","21.21","21.30","21.54","20.88","3.43M","-0.46%"
"Nov 13, 2019","21.31","20.89","21.65","20.66","3.76M","2.00%"
"Nov 12, 2019","20.89","20.11","20.89","20.06","3.30M","3.89%"
"Nov 11, 2019","20.11","20.42","20.60","19.81","2.98M","-1.51%"
"Nov 10, 2019","20.42","19.76","20.57","19.72","3.75M","3.36%"
"Nov 09, 2019","19.76","19.71","20.00","19.56","2.71M","0.23%"
"Nov 08, 2019","19.71","20.39","20.48","19.39","3.02M","-3.37%"
"Nov 07, 2019","20.40","20.65","20.77","19.96","3.31M","-1.20%"
"Nov 06, 2019","20.65","20.62","20.88","20.35","3.93M","0.14%"
"Nov 05, 2019","20.62","20.62","20.86","20.34","4.09M","0.00%"
"Nov 04, 2019","20.62","20.16","20.86","20.06","4.92M","2.24%"
"Nov 03, 2019","20.16","20.19","20.38","19.85","4.64M","-0.15%"
"Nov 02, 2019","20.19","19.90","20.30","18.92","5.22M","1.48%"
"Nov 01, 2019","19.90","19.85","19.98","19.62","3.07M","0.26%"
"Oct 31, 2019","19.85","19.90","20.25","19.30","4.37M","-0.27%"
"Oct 30, 2019","19.90","20.66","20.75","19.07","4.38M","-3.68%"
"Oct 29, 2019","20.66","19.89","21.14","19.80","5.84M","3.83%"
"Oct 28, 2019","19.90","19.29","21.09","19.27","6.62M","3.09%"
"Oct 27, 2019","19.30","18.93","19.61","18.52","5.45M","1.96%"
"Oct 26, 2019","18.93","18.60","19.66","18.06","5.38M","1.77%"
"Oct 25, 2019","18.60","16.90","19.02","15.68","6.62M","10.05%"
"Oct 24, 2019","16.90","16.73","17.01","15.65","3.58M","1.06%"
