"","Date","AssetID","Price","Open","High","Low","Vol.","Change.."
"1",2019-12-31 05:30:00,"btc",7208.3,7261,7333,7161.3,2990,-0.0072
"2",2019-12-30 05:30:00,"btc",7260.9,7413,7421.6,7217.7,4090,-0.0212
"3",2019-12-29 05:30:00,"btc",7417.9,7333.2,7551.6,7311.8,2490,0.0114
"4",2019-12-28 05:30:00,"btc",7334.4,7293.6,7389.9,7280.5,2730,0.0065
"5",2019-12-27 05:30:00,"btc",7287,7235.3,7300,7114.1,4000,0.0075
"6",2019-12-26 05:30:00,"btc",7232.4,7220.1,7464.3,7189,4720,0.0017
"7",2019-12-25 05:30:00,"btc",7220.1,7270,7287.4,7144.8,3360,-0.0078
"8",2019-12-24 05:30:00,"btc",7276.9,7346.2,7445,7182.9,4250,-0.0096
"9",2019-12-23 05:30:00,"btc",7347.4,7538.9,7715,7283.1,7080,-0.0245
"10",2019-12-22 05:30:00,"btc",7532,7166.3,7541.3,7159.6,3620,0.051
"11",2019-12-21 05:30:00,"btc",7166.4,7213,7215.1,7145.2,2280,-0.0065
"12",2019-12-20 05:30:00,"btc",7212.9,7181.8,7249,7116.8,5700,0.0043
"13",2019-12-19 05:30:00,"btc",7181.8,7326.9,7412.5,7089.1,5430,-0.0193
"14",2019-12-18 05:30:00,"btc",7323.4,6667.1,7480.2,6479.4,13750,0.0984
"15",2019-12-17 05:30:00,"btc",6667.1,6926.6,6972,6624.3,12660,-0.0375
"16",2019-12-16 05:30:00,"btc",6926.8,7152.7,7189.9,6900,13420,-0.0316
"17",2019-12-15 05:30:00,"btc",7152.7,7100.8,7218.6,7046.6,3530,0.0073
"18",2019-12-14 05:30:00,"btc",7100.8,7283.1,7290.5,7038.5,3410,-0.025
"19",2019-12-13 05:30:00,"btc",7283.2,7224.1,7331.9,7218.7,2900,0.0082
"20",2019-12-12 05:30:00,"btc",7224,7231.2,7325.6,7133.8,5640,-9e-04
"21",2019-12-11 05:30:00,"btc",7230.7,7254.7,7296.2,7170.1,3120,-0.0033
"22",2019-12-10 05:30:00,"btc",7254.6,7373.8,7433,7207.5,3640,-0.0169
"23",2019-12-09 05:30:00,"btc",7379.5,7563.8,7701.1,7309.1,6560,-0.0245
"24",2019-12-08 05:30:00,"btc",7564.6,7543.2,7620,7433.6,4300,0.0028
"25",2019-12-07 05:30:00,"btc",7543.2,7584.7,7665.1,7520.1,1720,-0.0059
"26",2019-12-06 05:30:00,"btc",7588.3,7439.9,7648.6,7350.1,5710,0.0199
"27",2019-12-05 05:30:00,"btc",7440,7239.3,7522.8,7193.7,4790,0.0279
"28",2019-12-04 05:30:00,"btc",7238.2,7336.9,7887.7,7134.1,11720,-0.0133
"29",2019-12-03 05:30:00,"btc",7336,7350.2,7453.5,7288,2300,-0.0019
"30",2019-12-02 05:30:00,"btc",7350.3,7450.1,7467.3,7209.4,4630,-0.0134
"31",2019-12-01 05:30:00,"btc",7450.1,7599.9,7600.1,7288.7,6330,-0.0197
"32",2019-11-30 05:30:00,"btc",7599.9,7796.5,7849.6,7495,4970,-0.0252
"33",2019-11-29 05:30:00,"btc",7796.6,7460.7,7916.3,7450,7280,0.045
"34",2019-11-28 05:30:00,"btc",7460.8,7547.3,7683,7415,4340,-0.0117
"35",2019-11-27 05:30:00,"btc",7549.3,7198.3,7689,6880,13900,0.0488
"36",2019-11-26 05:30:00,"btc",7198.3,7162.8,7384.7,7061.2,5200,0.0042
"37",2019-11-25 05:30:00,"btc",7168,6965.2,7413.6,6619.4,18520,0.0291
"38",2019-11-24 05:30:00,"btc",6965.3,7352.7,7372,6922,8580,-0.0527
"39",2019-11-23 05:30:00,"btc",7352.6,7318.6,7385,7141,4630,0.004
"40",2019-11-22 05:30:00,"btc",7323,7672.5,7763.3,6820.1,19370,-0.0454
"41",2019-11-21 05:30:00,"btc",7671.1,8126.4,8155.9,7510.1,9890,-0.056
"42",2019-11-20 05:30:00,"btc",8126.4,8164.9,8255,8081,2060,-0.0047
"43",2019-11-19 05:30:00,"btc",8164.9,8219.5,8241.9,8055.2,3700,-0.0066
"44",2019-11-18 05:30:00,"btc",8219.5,8536.7,8536.8,8119,6360,-0.0372
"45",2019-11-17 05:30:00,"btc",8537.3,8523.4,8662.9,8422,2840,0.0016
"46",2019-11-16 05:30:00,"btc",8523.5,8494.8,8553.1,8442.7,1530,0.0033
"47",2019-11-15 05:30:00,"btc",8495.8,8655.5,8798.1,8420.2,5180,-0.0185
"48",2019-11-14 05:30:00,"btc",8655.7,8800.9,8817.4,8601.4,3300,-0.0165
"49",2019-11-13 05:30:00,"btc",8801.1,8830,8849.3,8730.3,1340,-0.0033
"50",2019-11-12 05:30:00,"btc",8830,8737.7,8891.5,8602.1,3500,0.0106
"51",2019-11-11 05:30:00,"btc",8737.7,9069.7,9107.3,8633.4,4240,-0.0365
"52",2019-11-10 05:30:00,"btc",9068.4,8827.1,9156.9,8764,4640,0.0272
"53",2019-11-09 05:30:00,"btc",8828,8782.3,8891.4,8735.9,1960,0.0052
"54",2019-11-08 05:30:00,"btc",8782.4,9209.2,9252.4,8688.1,7860,-0.0462
"55",2019-11-07 05:30:00,"btc",9208,9355,9387.1,9086.5,3750,-0.0155
"56",2019-11-06 05:30:00,"btc",9353,9334,9475,9278,3470,0.002
"57",2019-11-05 05:30:00,"btc",9333.9,9440,9504.1,9200,3410,-0.0114
"58",2019-11-04 05:30:00,"btc",9441.2,9223,9621.8,9152,7470,0.0237
"59",2019-11-03 05:30:00,"btc",9222.4,9332.2,9400.6,9100,3620,-0.0118
"60",2019-11-02 05:30:00,"btc",9332.1,9288.4,9429.4,9251.8,3660,0.0046
"61",2019-11-01 05:30:00,"btc",9289.1,9185.6,9332.1,9087.4,4090,0.0113
"62",2019-10-31 05:30:00,"btc",9185.6,9184.4,9460.7,8984.8,5670,1e-04
"63",2019-10-30 05:30:00,"btc",9184.3,9445.5,9446.9,9035,5050,-0.0277
"64",2019-10-29 05:30:00,"btc",9445.5,9229.2,9558.3,9101.3,6730,0.0238
"65",2019-10-28 05:30:00,"btc",9225.7,9574.1,9948,9216.8,8990,-0.0362
"66",2019-10-27 05:30:00,"btc",9571.8,9270.9,9815.6,9121.6,11110,0.0325
"67",2019-10-26 05:30:00,"btc",9270.9,8679.3,10464.1,8662.9,32060,0.0682
"68",2019-10-25 05:30:00,"btc",8679.1,7453,8800,7426,17100,0.1645
"69",2019-10-24 05:30:00,"btc",7453,7493.6,7529,7372,5800,-0.0054
"70",2019-10-23 05:30:00,"btc",7493.7,8053.7,8074.5,7341.5,12980,-0.0701
"71",2019-10-22 05:30:00,"btc",8058.9,8242.2,8332.2,8037.1,3850,-0.0224
"72",2019-10-21 05:30:00,"btc",8243.9,8260.7,8371.3,8181.8,3410,-0.002
"73",2019-10-20 05:30:00,"btc",8260.6,7993,8335.6,7922,4870,0.0335
"74",2019-10-19 05:30:00,"btc",7992.9,7987.3,8117,7927,3510,7e-04
"75",2019-10-18 05:30:00,"btc",7987.2,8092.4,8135.1,7860,5300,-0.013
"76",2019-10-17 05:30:00,"btc",8092.3,8016.1,8144.9,7949.3,2810,0.0095
"77",2019-10-16 05:30:00,"btc",8016,8191,8203.2,7960,7080,-0.0214
"78",2019-10-15 05:30:00,"btc",8191.1,8370,8433.7,8123.6,3280,-0.0214
"79",2019-10-14 05:30:00,"btc",8370,8304.9,8423.5,8230.1,2540,0.0077
"80",2019-10-13 05:30:00,"btc",8305.7,8319.6,8477.4,8179.3,4040,-0.0015
"81",2019-10-12 05:30:00,"btc",8318.3,8278.2,8421,8272.5,1710,0.0046
"82",2019-10-11 05:30:00,"btc",8280,8596,8815.2,8253,6080,-0.0368
"83",2019-10-10 05:30:00,"btc",8596,8610.4,8682.8,8472,4320,-0.0013
"84",2019-10-09 05:30:00,"btc",8607.5,8205,8717.9,8146.6,8390,0.0483
"85",2019-10-08 05:30:00,"btc",8211.2,8234.6,8362,8132.8,3470,-0.0019
"86",2019-10-07 05:30:00,"btc",8227,7886.2,8342,7794.9,8150,0.0436
"87",2019-10-06 05:30:00,"btc",7883.1,8162.5,8183.1,7807.1,5850,-0.0342
"88",2019-10-05 05:30:00,"btc",8162.5,8170.1,8210.7,8040,3330,-9e-04
"89",2019-10-04 05:30:00,"btc",8170,8260.5,8264.9,8040,3050,-0.0106
"90",2019-10-03 05:30:00,"btc",8257.9,8414.9,8440,8100.7,3720,-0.0185
"91",2019-10-02 05:30:00,"btc",8413.4,8333.7,8419.9,8193.5,3450,0.0094
"92",2019-10-01 05:30:00,"btc",8334.9,8331.1,8539,8228,5840,5e-04
"93",2019-09-30 05:30:00,"btc",8331.1,8090.1,8384,7753,10920,0.0298
"94",2019-09-29 05:30:00,"btc",8090,8238.2,8260.2,7930.7,6140,-0.018
"95",2019-09-28 05:30:00,"btc",8238.6,8215.3,8354.7,8047.9,5450,0.0031
"96",2019-09-27 05:30:00,"btc",8213.4,8105.9,8296.5,7906.3,7470,0.0135
"97",2019-09-26 05:30:00,"btc",8103.6,8475.3,8489.9,7800.1,15420,-0.0438
"98",2019-09-25 05:30:00,"btc",8474.7,8535,8770,8266.1,12770,-0.0086
"99",2019-09-24 05:30:00,"btc",8547.9,9702.6,9788.1,8110.1,34870,-0.119
"100",2019-09-23 05:30:00,"btc",9702.6,10055,10077,9627.5,5490,-0.0348
"101",2019-09-22 05:30:00,"btc",10052,10012,10105,9881.4,2750,0.0039
"102",2019-09-21 05:30:00,"btc",10013,10197,10199,9958.1,2980,-0.0181
"103",2019-09-20 05:30:00,"btc",10198,10303,10340,10105,2510,-0.01
"104",2019-09-19 05:30:00,"btc",10301,10185,10417,9655,9770,0.0114
"105",2019-09-18 05:30:00,"btc",10185,10214.1,10278,10111,3340,-0.0028
"106",2019-09-17 05:30:00,"btc",10214.1,10290,10308,10171,2940,-0.0079
"107",2019-09-16 05:30:00,"btc",10295,10321,10399,10100,5520,-0.0026
"108",2019-09-15 05:30:00,"btc",10322,10381,10402,10287,1880,-0.0055
"109",2019-09-14 05:30:00,"btc",10379,10374,10478,10256,3160,5e-04
"110",2019-09-13 05:30:00,"btc",10374,10452,10475,10170,4500,-0.0075
"111",2019-09-12 05:30:00,"btc",10452,10174.2,10488,10065.1,4400,0.0272
"112",2019-09-11 05:30:00,"btc",10175,10121,10297,9866.5,4350,0.0052
"113",2019-09-10 05:30:00,"btc",10122,10317,10399,9961.7,4210,-0.019
"114",2019-09-09 05:30:00,"btc",10318,10417,10542,10118.6,5200,-0.0093
"115",2019-09-08 05:30:00,"btc",10415,10489,10599,10257,3510,-0.007
"116",2019-09-07 05:30:00,"btc",10488,10305,10581,10305,3380,0.0166
"117",2019-09-06 05:30:00,"btc",10317,10582.9,10933,10218,11280,-0.0247
"118",2019-09-05 05:30:00,"btc",10578.7,10593,10663,10483,3010,-0.0011
"119",2019-09-04 05:30:00,"btc",10590,10642,10841.2,10411,6250,-0.0048
"120",2019-09-03 05:30:00,"btc",10641,10401,10766,10300,10740,0.0244
"121",2019-09-02 05:30:00,"btc",10388,9783,10473,9754.9,11140,0.0623
"122",2019-09-01 05:30:00,"btc",9779.1,9623.9,9858,9560.1,2870,0.0161
"123",2019-08-31 05:30:00,"btc",9623.9,9600.7,9710.2,9472.1,2750,0.0024
"124",2019-08-30 05:30:00,"btc",9601,9509.4,9710,9384.3,3750,0.0097
"125",2019-08-29 05:30:00,"btc",9509,9727.3,9727.3,9360.4,7080,-0.0225
"126",2019-08-28 05:30:00,"btc",9727.4,10190,10303,9585.3,10410,-0.0448
"127",2019-08-27 05:30:00,"btc",10184,10376.2,10392,10036.9,4520,-0.0186
"128",2019-08-26 05:30:00,"btc",10377,10144,10654,10144,8980,0.0242
"129",2019-08-25 05:30:00,"btc",10132,10162,10349,9881.1,5210,-0.002
"130",2019-08-24 05:30:00,"btc",10152,10414,10427,9900,5410,-0.0246
"131",2019-08-23 05:30:00,"btc",10408,10117,10461,10063,6390,0.0288
"132",2019-08-22 05:30:00,"btc",10117,10147,10247,9790,6530,-0.0029
"133",2019-08-21 05:30:00,"btc",10146,10795,10825,9880,11790,-0.0599
"134",2019-08-20 05:30:00,"btc",10793,10947,10986,10588,5830,-0.0132
"135",2019-08-19 05:30:00,"btc",10937,10329,10960,10280,7380,0.0591
"136",2019-08-18 05:30:00,"btc",10327,10230,10529,10086,3900,0.0097
"137",2019-08-17 05:30:00,"btc",10228,10372,10487,10004.1,4890,-0.0133
"138",2019-08-16 05:30:00,"btc",10366,10324,10568,9783.4,12890,0.0038
"139",2019-08-15 05:30:00,"btc",10327,10067,10470,9522.5,17370,0.0258
"140",2019-08-14 05:30:00,"btc",10067,10904,10909,9980,14510,-0.0768
"141",2019-08-13 05:30:00,"btc",10904,11411,11468,10801,9000,-0.0438
"142",2019-08-12 05:30:00,"btc",11404,11577,11578.8,11272,3200,-0.0157
"143",2019-08-11 05:30:00,"btc",11586,11308,11594,11158,5440,0.024
"144",2019-08-10 05:30:00,"btc",11314,11892,12003,11263,9020,-0.0487
"145",2019-08-09 05:30:00,"btc",11893,12051,12092.7,11711,7810,-0.0138
"146",2019-08-08 05:30:00,"btc",12060,11999,12126,11570,10970,0.0053
"147",2019-08-07 05:30:00,"btc",11997,11472,12122,11386,13660,0.0458
"148",2019-08-06 05:30:00,"btc",11471.2,11824,12307,11268,19340,-0.0285
"149",2019-08-05 05:30:00,"btc",11808,10974,11938,10973,16130,0.0761
"150",2019-08-04 05:30:00,"btc",10973,10822,11060,10595,9280,0.014
"151",2019-08-03 05:30:00,"btc",10822,10520,10910,10506,7420,0.0288
"152",2019-08-02 05:30:00,"btc",10519,10400,10648.3,10345,8440,0.0115
"153",2019-08-01 05:30:00,"btc",10399,10096,10500,9899.9,7780,0.0308
"154",2019-07-31 05:30:00,"btc",10088,9588.9,10099,9575.5,7940,0.052
"155",2019-07-30 05:30:00,"btc",9589,9503.5,9736,9401.6,5190,0.0086
"156",2019-07-29 05:30:00,"btc",9507,9530,9690,9396.6,5700,-0.0013
"157",2019-07-28 05:30:00,"btc",9519,9463.1,9604.2,9112.3,7750,0.0056
"158",2019-07-27 05:30:00,"btc",9465.7,9840.3,10189,9300.3,11770,-0.0383
"159",2019-07-26 05:30:00,"btc",9842.5,9888,9899,9672,5120,-0.0048
"160",2019-07-25 05:30:00,"btc",9890.1,9772,10180,9735,9220,0.0122
"161",2019-07-24 05:30:00,"btc",9771,9859,9917.7,9541.9,11570,-0.0085
"162",2019-07-23 05:30:00,"btc",9854.9,10330,10330,9824.5,9770,-0.0459
"163",2019-07-22 05:30:00,"btc",10329,10572,10667,10094,10900,-0.0227
"164",2019-07-21 05:30:00,"btc",10569.4,10741,10811,10300,8250,-0.0159
"165",2019-07-20 05:30:00,"btc",10740,10517.6,11085,10402,12130,0.021
"166",2019-07-19 05:30:00,"btc",10519,10624,10759,10132.7,13160,-0.0097
"167",2019-07-18 05:30:00,"btc",10622,9691.2,10750,9271.6,28830,0.097
"168",2019-07-17 05:30:00,"btc",9683.2,9418.4,9963.1,9090,23120,0.029
"169",2019-07-16 05:30:00,"btc",9410,10813,10991,9378,26180,-0.1303
"170",2019-07-15 05:30:00,"btc",10820,10193,11043,9920.6,21440,0.0601
"171",2019-07-14 05:30:00,"btc",10206.8,11324,11390,10125,22490,-0.0977
"172",2019-07-13 05:30:00,"btc",11312,11779,11803,10806,14720,-0.0385
"173",2019-07-12 05:30:00,"btc",11765,11327,11900,11100,12250,0.0375
"174",2019-07-11 05:30:00,"btc",11340,12092,12092,11006,21600,-0.0623
"175",2019-07-10 05:30:00,"btc",12093,12564,13173,11572,36060,-0.0366
"176",2019-07-09 05:30:00,"btc",12553,12301.5,12811,12173,19160,0.0205
"177",2019-07-08 05:30:00,"btc",12301,11484,12382,11339,17840,0.071
"178",2019-07-07 05:30:00,"btc",11486,11276,11618,11121.6,8420,0.018
"179",2019-07-06 05:30:00,"btc",11283,10983,11720,10983,12210,0.0259
"180",2019-07-05 05:30:00,"btc",10998,11141,11440,10802,16370,-0.0153
"181",2019-07-04 05:30:00,"btc",11169,12000,12063.5,11057,19840,-0.068
"182",2019-07-03 05:30:00,"btc",11984,10903,12004,10903,28090,0.1029
"183",2019-07-02 05:30:00,"btc",10866,10639.8,10961,9745.1,28780,0.0213
"184",2019-07-01 05:30:00,"btc",10639,10777,11221,10099,24900,-0.0099
"185",2019-06-30 05:30:00,"btc",10745,11973,12229,10705,19070,-0.0986
"186",2019-06-29 05:30:00,"btc",11921,12350.7,12350.7,11375,20390,-0.0347
"187",2019-06-28 05:30:00,"btc",12349,11183,12404,10812,31980,0.1026
"188",2019-06-27 05:30:00,"btc",11200,12876,13222,10397,47610,-0.1302
"189",2019-06-26 05:30:00,"btc",12876,11746,13764,11693,55590,0.0957
"190",2019-06-25 05:30:00,"btc",11751,11070,11780,10992.4,21850,0.0632
"191",2019-06-24 05:30:00,"btc",11053,10913,11135,10560,14400,0.0126
"192",2019-06-23 05:30:00,"btc",10916,10745,11368,10576,18590,0.0156
"193",2019-06-22 05:30:00,"btc",10747.9,10227,11210,10098.2,36680,0.05
"194",2019-06-21 05:30:00,"btc",10236,9557.8,10249,9557.8,22230,0.071
"195",2019-06-20 05:30:00,"btc",9557.1,9306,9620.8,9241,10590,0.027
"196",2019-06-19 05:30:00,"btc",9305.9,9094.9,9339.9,9062,5770,0.0231
"197",2019-06-18 05:30:00,"btc",9095.9,9351,9370.9,8945.4,10590,-0.0278
"198",2019-06-17 05:30:00,"btc",9356,8986,9489.9,8986,14170,0.0412
"199",2019-06-16 05:30:00,"btc",8986,8852.8,9389.6,8803,20910,0.0147
"200",2019-06-15 05:30:00,"btc",8856,8689,8904.1,8611,9400,0.0192
"201",2019-06-14 05:30:00,"btc",8689.1,8230,8714.9,8163.3,12710,0.0561
"202",2019-06-13 05:30:00,"btc",8227.4,8177.6,8333,8038.9,8890,0.0064
"203",2019-06-12 05:30:00,"btc",8175.4,7903.1,8238.8,7822.3,9140,0.0343
"204",2019-06-11 05:30:00,"btc",7904.1,8018.8,8048.9,7711.3,6530,-0.0137
"205",2019-06-10 05:30:00,"btc",8013.7,7622.5,8046.3,7523.3,8900,0.049
"206",2019-06-09 05:30:00,"btc",7639.2,7924,7961,7502.5,6830,-0.036
"207",2019-06-08 05:30:00,"btc",7924.6,8002.1,8064.8,7802,4770,-0.0084
"208",2019-06-07 05:30:00,"btc",7991.5,7816.9,8123.5,7769.1,13440,0.0238
"209",2019-06-06 05:30:00,"btc",7805.6,7766.3,7870.6,7461,7510,0.0021
"210",2019-06-05 05:30:00,"btc",7789.3,7692.8,7931,7603,10830,0.0125
"211",2019-06-04 05:30:00,"btc",7692.8,8088,8088,7524.5,28120,-0.0507
"212",2019-06-03 05:30:00,"btc",8103.4,8740.1,8740.1,8050.1,18660,-0.0728
"213",2019-06-02 05:30:00,"btc",8740,8546.9,8818,8540,6240,0.0226
"214",2019-06-01 05:30:00,"btc",8547,8531.9,8625,8452,5460,0.0016
"215",2019-05-31 05:30:00,"btc",8533.3,8268.5,8550,8112.4,10930,0.0318
"216",2019-05-30 05:30:00,"btc",8269.9,8681.2,9100,8019.7,20290,-0.0473
"217",2019-05-29 05:30:00,"btc",8680.9,8738.1,8794.9,8490,10300,-0.0069
"218",2019-05-28 05:30:00,"btc",8740.9,8806.1,8843.7,8558.3,11140,-0.0074
"219",2019-05-27 05:30:00,"btc",8806,8730,8951,8661,17560,0.0087
"220",2019-05-26 05:30:00,"btc",8729.9,8054.9,8820,7880.2,20140,0.0838
"221",2019-05-25 05:30:00,"btc",8054.9,7990,8135,7950.4,4340,0.0075
"222",2019-05-24 05:30:00,"btc",7994.9,7872.1,8158.6,7801.6,10920,0.0156
"223",2019-05-23 05:30:00,"btc",7872.4,7619.9,7957.1,7496.3,10550,0.033
"224",2019-05-22 05:30:00,"btc",7621.1,7933.6,8030,7507.9,10780,-0.0398
"225",2019-05-21 05:30:00,"btc",7937,7990.5,8089.9,7819.7,7690,-0.006
"226",2019-05-20 05:30:00,"btc",7985,8188.3,8188.3,7601,16900,-0.025
"227",2019-05-19 05:30:00,"btc",8189.5,7260.1,8263.2,7252,23460,0.128
"228",2019-05-18 05:30:00,"btc",7260,7418.3,7509.1,7210.6,9320,-0.021
"229",2019-05-17 05:30:00,"btc",7415.4,7857.5,7905.7,7067.4,29020,-0.0562
"230",2019-05-16 05:30:00,"btc",7857,8135.5,8307.7,7750.1,22290,-0.0339
"231",2019-05-15 05:30:00,"btc",8132.9,7951.9,8208.9,7837.6,19040,0.0219
"232",2019-05-14 05:30:00,"btc",7958.3,7753.2,8194.1,7684.1,29320,0.0265
"233",2019-05-13 05:30:00,"btc",7753.2,6980.1,8049.9,6883.9,36470,0.1108
"234",2019-05-12 05:30:00,"btc",6979.9,7125.1,7448,6860,31960,-0.0219
"235",2019-05-11 05:30:00,"btc",7136.4,6438.7,7278.3,6438.7,37910,0.1084
"236",2019-05-10 05:30:00,"btc",6438.7,6262,6522,6212.6,14490,0.0288
"237",2019-05-09 05:30:00,"btc",6258.4,6201.9,6309,6165,9680,0.0093
"238",2019-05-08 05:30:00,"btc",6201,6096.6,6220.4,6024.1,8200,0.0186
"239",2019-05-07 05:30:00,"btc",6087.9,6027.9,6290,6027.9,11990,0.01
