"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2017","1.0200","1.0200","1.0300","1.0100","973.14K","0.00%"
"Dec 30, 2017","1.0200","1.0200","1.0300","1.0200","4.03M","0.00%"
"Dec 29, 2017","1.0200","1.0200","1.0200","1.0100","1.81M","0.00%"
"Dec 28, 2017","1.0200","1.0100","1.0300","1.0000","5.00M","0.99%"
"Dec 27, 2017","1.0100","1.0000","1.0100","0.9952","1.77M","1.00%"
"Dec 26, 2017","1.0000","1.0100","1.0200","0.9993","2.87M","-0.99%"
"Dec 25, 2017","1.0100","1.0200","1.0300","1.0000","3.45M","-0.98%"
"Dec 24, 2017","1.0200","1.0300","1.0300","1.0100","3.85M","-0.97%"
"Dec 23, 2017","1.0300","1.0300","1.0400","1.0100","2.50M","0.00%"
"Dec 22, 2017","1.0300","0.9950","1.0400","0.9950","4.50M","3.52%"
"Dec 21, 2017","0.9950","0.9945","0.9950","0.9945","1.75M","0.05%"
"Dec 20, 2017","0.9945","1.0100","1.0100","0.9909","1.89M","-1.53%"
"Dec 19, 2017","1.0100","0.9985","1.0100","0.9900","2.18M","1.15%"
"Dec 18, 2017","0.9985","0.9958","1.0100","0.9953","2.09M","0.27%"
"Dec 17, 2017","0.9958","1.0100","1.0100","0.9900","1.60M","-1.41%"
"Dec 16, 2017","1.0100","1.0000","1.0100","1.0000","884.80K","1.00%"
"Dec 15, 2017","1.0000","1.0000","1.0200","1.0000","1.21M","0.00%"
"Dec 14, 2017","1.0000","1.0000","1.0300","1.0000","1.06M","0.00%"
"Dec 13, 2017","1.0000","1.0200","1.0200","1.0000","1.12M","-1.96%"
"Dec 12, 2017","1.0200","1.0100","1.0300","1.0000","1.19M","0.99%"
"Dec 11, 2017","1.0100","1.0000","1.0200","1.0000","896.91K","1.00%"
"Dec 10, 2017","1.0000","1.0000","1.0200","1.0000","983.31K","0.00%"
"Dec 09, 2017","1.0000","1.0100","1.0200","1.0000","488.26K","-0.99%"
"Dec 08, 2017","1.0100","1.0100","1.0100","1.0000","631.93K","0.00%"
"Dec 07, 2017","1.0100","1.0100","1.0100","1.0000","1.75M","0.00%"
"Dec 06, 2017","1.0100","1.0000","1.0100","0.9967","2.48M","1.00%"
"Dec 05, 2017","1.0000","1.0000","1.0000","0.9850","1.74M","0.00%"
"Dec 04, 2017","1.0000","0.9977","1.0000","0.9860","2.91M","0.23%"
"Dec 03, 2017","0.9977","0.9959","0.9980","0.9840","1.30M","0.18%"
"Dec 02, 2017","0.9959","1.0100","1.0100","0.9826","970.82K","-1.40%"
"Dec 01, 2017","1.0100","1.0100","1.0100","1.0000","457.32K","0.00%"
"Nov 30, 2017","1.0100","0.9988","1.0200","0.9959","1.61M","1.12%"
"Nov 29, 2017","0.9988","0.9924","0.9990","0.9500","1.47M","0.64%"
"Nov 28, 2017","0.9924","0.9978","0.9978","0.9791","531.30K","-0.54%"
"Nov 27, 2017","0.9978","0.9961","1.0000","0.9910","462.45K","0.17%"
"Nov 26, 2017","0.9961","0.9970","1.0000","0.9883","504.13K","-0.09%"
"Nov 25, 2017","0.9970","0.9910","0.9986","0.9880","272.51K","0.61%"
"Nov 24, 2017","0.9910","0.9950","1.0000","0.9860","634.30K","-0.40%"
"Nov 23, 2017","0.9950","0.9985","0.9990","0.9800","317.83K","-0.35%"
"Nov 22, 2017","0.9985","0.9807","1.0000","0.9789","840.34K","1.82%"
"Nov 21, 2017","0.9807","0.9947","0.9970","0.9600","673.37K","-1.41%"
"Nov 20, 2017","0.9947","0.9943","0.9995","0.9006","989.23K","0.04%"
"Nov 19, 2017","0.9943","0.9987","1.0000","0.9890","868.08K","-0.44%"
"Nov 18, 2017","0.9987","1.0000","1.0100","0.9901","743.66K","-0.13%"
"Nov 17, 2017","1.0000","0.9850","1.0000","0.9830","675.88K","1.52%"
"Nov 16, 2017","0.9850","1.0000","1.0000","0.9850","1.25M","-1.50%"
"Nov 15, 2017","1.0000","1.0100","1.0200","1.0000","819.44K","-0.99%"
"Nov 14, 2017","1.0100","1.0100","1.0200","1.0100","279.28K","0.00%"
"Nov 13, 2017","1.0100","1.0000","1.0200","1.0000","556.04K","1.00%"
"Nov 12, 2017","1.0000","1.0100","1.0200","1.0000","959.65K","-0.99%"
