"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2018","0.0405","0.0426","0.0427","0.0398","156.99M","-4.87%"
"Dec 30, 2018","0.0426","0.0403","0.0431","0.0396","211.19M","5.65%"
"Dec 29, 2018","0.0403","0.0411","0.0433","0.0400","248.36M","-1.98%"
"Dec 28, 2018","0.0411","0.0361","0.0419","0.0356","190.11M","13.96%"
"Dec 27, 2018","0.0361","0.0406","0.0411","0.0355","180.34M","-11.00%"
"Dec 26, 2018","0.0406","0.0411","0.0426","0.0381","205.25M","-1.20%"
"Dec 25, 2018","0.0411","0.0450","0.0452","0.0383","301.79M","-8.82%"
"Dec 24, 2018","0.0450","0.0437","0.0489","0.0437","368.39M","3.02%"
"Dec 23, 2018","0.0437","0.0416","0.0444","0.0411","257.81M","5.11%"
"Dec 22, 2018","0.0416","0.0403","0.0417","0.0382","229.51M","3.11%"
"Dec 21, 2018","0.0403","0.0387","0.0448","0.0379","518.81M","4.13%"
"Dec 20, 2018","0.0387","0.0337","0.0394","0.0333","347.70M","14.90%"
"Dec 19, 2018","0.0337","0.0342","0.0380","0.0337","354.59M","-1.57%"
"Dec 18, 2018","0.0342","0.0324","0.0345","0.0313","242.76M","5.45%"
"Dec 17, 2018","0.0325","0.0290","0.0336","0.0290","223.08M","12.07%"
"Dec 16, 2018","0.0290","0.0281","0.0298","0.0281","99.29M","3.18%"
"Dec 15, 2018","0.0281","0.0283","0.0286","0.0277","70.97M","-0.82%"
"Dec 14, 2018","0.0283","0.0291","0.0295","0.0277","87.51M","-2.72%"
"Dec 13, 2018","0.0291","0.0303","0.0306","0.0288","102.03M","-3.90%"
"Dec 12, 2018","0.0303","0.0292","0.0309","0.0290","98.62M","2.75%"
"Dec 11, 2018","0.0295","0.0298","0.0301","0.0286","100.95M","-0.92%"
"Dec 10, 2018","0.0298","0.0311","0.0318","0.0292","131.37M","-4.40%"
"Dec 09, 2018","0.0311","0.0302","0.0324","0.0297","164.89M","3.01%"
"Dec 08, 2018","0.0302","0.0297","0.0320","0.0283","189.03M","1.64%"
"Dec 07, 2018","0.0297","0.0307","0.0310","0.0272","301.98M","-3.17%"
"Dec 06, 2018","0.0307","0.0343","0.0356","0.0306","229.65M","-10.45%"
"Dec 05, 2018","0.0343","0.0375","0.0376","0.0342","259.54M","-8.57%"
"Dec 04, 2018","0.0375","0.0385","0.0401","0.0370","176.99M","-2.57%"
"Dec 03, 2018","0.0385","0.0419","0.0421","0.0379","160.11M","-7.78%"
"Dec 02, 2018","0.0417","0.0414","0.0434","0.0407","154.38M","0.91%"
"Dec 01, 2018","0.0414","0.0391","0.0423","0.0381","136.82M","5.90%"
"Nov 30, 2018","0.0391","0.0420","0.0424","0.0377","205.09M","-6.94%"
"Nov 29, 2018","0.0420","0.0422","0.0448","0.0397","264.98M","-0.59%"
"Nov 28, 2018","0.0422","0.0369","0.0441","0.0369","377.93M","14.35%"
"Nov 27, 2018","0.0369","0.0365","0.0377","0.0342","164.60M","1.12%"
"Nov 26, 2018","0.0365","0.0383","0.0402","0.0346","295.67M","-4.72%"
"Nov 25, 2018","0.0383","0.0390","0.0396","0.0332","298.35M","-1.76%"
"Nov 24, 2018","0.0390","0.0440","0.0454","0.0371","194.28M","-11.33%"
"Nov 23, 2018","0.0440","0.0440","0.0451","0.0418","156.39M","0.00%"
"Nov 22, 2018","0.0440","0.0484","0.0491","0.0439","112.99M","-9.01%"
"Nov 21, 2018","0.0484","0.0459","0.0492","0.0435","230.26M","5.49%"
"Nov 20, 2018","0.0459","0.0528","0.0533","0.0428","403.78M","-13.06%"
"Nov 19, 2018","0.0528","0.0623","0.0624","0.0515","236.31M","-15.35%"
"Nov 18, 2018","0.0623","0.0612","0.0635","0.0612","61.77M","1.82%"
"Nov 17, 2018","0.0612","0.0615","0.0615","0.0596","59.04M","-0.37%"
"Nov 16, 2018","0.0615","0.0644","0.0649","0.0603","99.79M","-4.52%"
"Nov 15, 2018","0.0644","0.0665","0.0667","0.0583","216.36M","-3.14%"
