"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2017","1.98000","1.86000","2.09000","1.61000","275.18M","6.45%"
"Dec 30, 2017","1.86000","1.93000","2.44000","1.77000","756.29M","-3.63%"
"Dec 29, 2017","1.93000","1.26000","1.97000","1.25000","664.92M","53.17%"
"Dec 28, 2017","1.26000","1.21000","1.31000","1.10000","286.90M","4.13%"
"Dec 27, 2017","1.21000","1.07000","1.28000","1.07000","366.82M","13.08%"
"Dec 26, 2017","1.07000","0.98050","1.09000","0.97120","130.48M","9.13%"
"Dec 25, 2017","0.98050","0.97820","1.02000","0.92360","102.07M","0.24%"
"Dec 24, 2017","0.97820","1.01000","1.01000","0.82530","222.17M","-3.15%"
"Dec 23, 2017","1.01000","1.00000","1.07000","0.92630","223.61M","1.00%"
"Dec 22, 2017","1.00000","1.12000","1.24000","0.62030","932.17M","-10.71%"
"Dec 21, 2017","1.12000","0.71440","1.13000","0.71280","835.99M","56.77%"
"Dec 20, 2017","0.71440","0.73440","0.74260","0.65680","248.36M","-2.72%"
"Dec 19, 2017","0.73440","0.75580","0.84020","0.70190","321.26M","-2.83%"
"Dec 18, 2017","0.75580","0.71180","0.79120","0.66510","301.54M","6.24%"
"Dec 17, 2017","0.71140","0.73970","0.75240","0.70160","163.70M","-3.83%"
"Dec 16, 2017","0.73970","0.73750","0.81220","0.71770","294.34M","0.27%"
"Dec 15, 2017","0.73770","0.85070","0.85230","0.61830","677.79M","-13.28%"
"Dec 14, 2017","0.85070","0.45820","0.88090","0.45270","1.07B","85.58%"
"Dec 13, 2017","0.45840","0.35550","0.50060","0.33880","841.26M","28.95%"
"Dec 12, 2017","0.35550","0.24510","0.43690","0.24420","519.23M","45.04%"
"Dec 11, 2017","0.24510","0.22710","0.24700","0.22700","124.36M","7.93%"
"Dec 10, 2017","0.22710","0.23530","0.23660","0.22230","121.54M","-3.48%"
"Dec 09, 2017","0.23530","0.23370","0.24460","0.22950","164.41M","0.68%"
"Dec 08, 2017","0.23370","0.20370","0.25300","0.20050","389.26M","14.84%"
"Dec 07, 2017","0.20350","0.21820","0.21970","0.20090","208.39M","-6.74%"
"Dec 06, 2017","0.21820","0.23370","0.23400","0.20990","204.25M","-6.63%"
"Dec 05, 2017","0.23370","0.24620","0.24690","0.23050","123.30M","-5.08%"
"Dec 04, 2017","0.24620","0.24490","0.24860","0.23540","88.85M","0.53%"
"Dec 03, 2017","0.24490","0.24410","0.25860","0.23540","114.74M","0.33%"
"Dec 02, 2017","0.24410","0.24730","0.24940","0.24030","72.00M","-1.29%"
"Dec 01, 2017","0.24730","0.23690","0.25110","0.22590","130.58M","4.97%"
"Nov 30, 2017","0.23560","0.23560","0.24680","0.22000","153.34M","0.13%"
"Nov 29, 2017","0.23530","0.27960","0.27970","0.21280","286.28M","-15.81%"
"Nov 28, 2017","0.27950","0.24700","0.28060","0.24670","243.89M","13.16%"
"Nov 27, 2017","0.24700","0.24450","0.24970","0.24030","104.91M","0.82%"
"Nov 26, 2017","0.24500","0.24890","0.24920","0.24120","45.85M","-1.53%"
"Nov 25, 2017","0.24880","0.24100","0.25310","0.23940","89.80M","3.24%"
"Nov 24, 2017","0.24100","0.24000","0.24430","0.23120","101.01M","0.42%"
"Nov 23, 2017","0.24000","0.23850","0.25030","0.23570","126.13M","0.63%"
"Nov 22, 2017","0.23850","0.23210","0.24170","0.23170","88.14M","2.89%"
"Nov 21, 2017","0.23180","0.24090","0.24440","0.22920","105.17M","-3.66%"
"Nov 20, 2017","0.24060","0.23220","0.24620","0.23150","105.38M","3.66%"
"Nov 19, 2017","0.23210","0.22750","0.23700","0.22310","88.10M","2.02%"
"Nov 18, 2017","0.22750","0.22390","0.22930","0.21910","69.82M","1.61%"
"Nov 17, 2017","0.22390","0.22700","0.23760","0.21740","138.20M","-1.32%"
"Nov 16, 2017","0.22690","0.20830","0.28090","0.20580","391.42M","8.93%"
"Nov 15, 2017","0.20830","0.20500","0.21010","0.20370","60.05M","1.61%"
"Nov 14, 2017","0.20500","0.20010","0.21030","0.19950","59.55M","2.45%"
"Nov 13, 2017","0.20010","0.19150","0.20010","0.19060","82.22M","4.49%"
"Nov 12, 2017","0.19150","0.20920","0.20940","0.18610","212.64M","-8.46%"
"Nov 11, 2017","0.20920","0.20330","0.21470","0.20160","76.56M","2.90%"
"Nov 10, 2017","0.20330","0.21540","0.21850","0.19880","94.83M","-5.62%"
"Nov 09, 2017","0.21540","0.21670","0.22180","0.21260","79.74M","-0.60%"
"Nov 08, 2017","0.21670","0.20550","0.22350","0.20310","100.57M","5.45%"
"Nov 07, 2017","0.20550","0.20130","0.20650","0.19930","39.60M","2.09%"
"Nov 06, 2017","0.20130","0.19970","0.20670","0.19810","43.25M","0.80%"
"Nov 05, 2017","0.19970","0.20140","0.20330","0.19840","26.94M","-0.89%"
"Nov 04, 2017","0.20150","0.20590","0.20610","0.20010","30.14M","-2.14%"
"Nov 03, 2017","0.20590","0.20030","0.22630","0.19610","147.02M","2.80%"
"Nov 02, 2017","0.20030","0.19100","0.20650","0.17550","103.21M","5.25%"
"Nov 01, 2017","0.19030","0.19750","0.20060","0.18960","47.45M","-3.65%"
"Oct 31, 2017","0.19750","0.20240","0.20340","0.19750","27.04M","-2.42%"
"Oct 30, 2017","0.20240","0.20150","0.20440","0.20010","21.61M","0.45%"
"Oct 29, 2017","0.20150","0.19810","0.20530","0.19660","27.10M","1.66%"
"Oct 28, 2017","0.19820","0.20010","0.20080","0.19740","13.37M","-0.95%"
"Oct 27, 2017","0.20010","0.20190","0.20270","0.19800","16.76M","-0.89%"
"Oct 26, 2017","0.20190","0.20230","0.20460","0.19990","24.89M","-0.20%"
"Oct 25, 2017","0.20230","0.20380","0.20470","0.19610","64.77M","-0.74%"
"Oct 24, 2017","0.20380","0.19170","0.21690","0.18300","144.68M","6.31%"
"Oct 23, 2017","0.19170","0.20150","0.20200","0.18450","72.66M","-4.82%"
"Oct 22, 2017","0.20140","0.20970","0.21140","0.19540","65.16M","-3.96%"
"Oct 21, 2017","0.20970","0.20810","0.21070","0.19710","72.83M","0.72%"
"Oct 20, 2017","0.20820","0.21410","0.22340","0.20560","93.32M","-2.66%"
"Oct 19, 2017","0.21390","0.21700","0.23200","0.20640","132.48M","-1.43%"
"Oct 18, 2017","0.21700","0.22950","0.23440","0.20160","160.95M","-5.45%"
"Oct 17, 2017","0.22950","0.25790","0.26540","0.21400","205.00M","-11.01%"
"Oct 16, 2017","0.25790","0.26520","0.29770","0.25230","257.30M","-2.75%"
"Oct 15, 2017","0.26520","0.25560","0.26910","0.24820","80.66M","3.76%"
"Oct 14, 2017","0.25560","0.26020","0.26850","0.25420","118.54M","-1.77%"
"Oct 13, 2017","0.26020","0.24640","0.26510","0.23300","161.98M","5.60%"
"Oct 12, 2017","0.24640","0.26320","0.26520","0.24610","108.85M","-6.38%"
"Oct 11, 2017","0.26320","0.25820","0.26560","0.25530","57.46M","1.94%"
"Oct 10, 2017","0.25820","0.25010","0.26660","0.24060","101.12M","3.24%"
"Oct 09, 2017","0.25010","0.27990","0.28020","0.23400","193.73M","-10.65%"
"Oct 08, 2017","0.27990","0.23970","0.28110","0.23850","148.10M","16.77%"
"Oct 07, 2017","0.23970","0.23340","0.24110","0.23240","41.92M","2.70%"
"Oct 06, 2017","0.23340","0.23800","0.24440","0.23320","94.21M","-1.93%"
"Oct 05, 2017","0.23800","0.21350","0.24420","0.21340","158.24M","11.48%"
"Oct 04, 2017","0.21350","0.20330","0.21700","0.20120","67.47M","5.02%"
"Oct 03, 2017","0.20330","0.20310","0.20620","0.19800","29.01M","0.10%"
"Oct 02, 2017","0.20310","0.20830","0.20920","0.20010","35.89M","-2.50%"
"Oct 01, 2017","0.20830","0.19990","0.20850","0.19650","24.42M","4.20%"
"Sep 30, 2017","0.19990","0.19670","0.20510","0.19550","49.44M","1.63%"
"Sep 29, 2017","0.19670","0.20230","0.20250","0.18800","54.18M","-2.77%"
"Sep 28, 2017","0.20230","0.20990","0.21020","0.19680","67.36M","-3.62%"
"Sep 27, 2017","0.20990","0.18920","0.21460","0.18740","99.14M","10.94%"
"Sep 26, 2017","0.18920","0.18460","0.19400","0.18090","50.44M","2.49%"
"Sep 25, 2017","0.18460","0.17570","0.18690","0.17480","33.75M","5.07%"
"Sep 24, 2017","0.17570","0.17910","0.17990","0.17330","15.37M","-1.90%"
"Sep 23, 2017","0.17910","0.17280","0.18030","0.17010","37.39M","3.65%"
"Sep 22, 2017","0.17280","0.17100","0.17700","0.16750","27.14M","1.05%"
"Sep 21, 2017","0.17100","0.18170","0.18310","0.17030","41.36M","-5.89%"
"Sep 20, 2017","0.18170","0.18480","0.18860","0.18080","27.75M","-1.68%"
"Sep 19, 2017","0.18480","0.19330","0.19450","0.18310","40.51M","-4.40%"
"Sep 18, 2017","0.19330","0.18140","0.19460","0.18140","62.95M","6.56%"
"Sep 17, 2017","0.18140","0.18280","0.18460","0.17170","32.69M","-0.77%"
"Sep 16, 2017","0.18280","0.18460","0.19180","0.17410","55.03M","-0.98%"
"Sep 15, 2017","0.18460","0.17110","0.19170","0.14830","151.33M","7.89%"
"Sep 14, 2017","0.17110","0.19830","0.20070","0.16630","109.97M","-13.72%"
"Sep 13, 2017","0.19830","0.20950","0.20990","0.19040","55.98M","-5.35%"
"Sep 12, 2017","0.20950","0.21430","0.22420","0.20600","52.56M","-2.24%"
"Sep 11, 2017","0.21430","0.21730","0.22160","0.20870","42.71M","-1.38%"
"Sep 10, 2017","0.21730","0.21300","0.22430","0.19930","54.94M","2.02%"
"Sep 09, 2017","0.21300","0.21220","0.21450","0.20750","26.34M","0.38%"
"Sep 08, 2017","0.21220","0.22710","0.22950","0.20260","80.23M","-6.56%"
"Sep 07, 2017","0.22710","0.23140","0.23180","0.22160","42.48M","-1.86%"
"Sep 06, 2017","0.23140","0.21680","0.23290","0.21620","62.41M","6.73%"
"Sep 05, 2017","0.21680","0.20450","0.22040","0.19170","74.19M","6.01%"
"Sep 04, 2017","0.20450","0.23030","0.23060","0.19010","110.27M","-11.20%"
"Sep 03, 2017","0.23030","0.22520","0.23810","0.21680","71.53M","2.26%"
"Sep 02, 2017","0.22520","0.25290","0.25380","0.21850","114.85M","-10.95%"
"Sep 01, 2017","0.25290","0.25930","0.26040","0.24440","92.33M","-2.47%"
"Aug 31, 2017","0.25930","0.23190","0.26480","0.22750","102.18M","11.82%"
"Aug 30, 2017","0.23190","0.21990","0.23320","0.21750","58.58M","5.46%"
"Aug 29, 2017","0.21990","0.22520","0.22620","0.21250","79.96M","-2.35%"
"Aug 28, 2017","0.22520","0.20170","0.24200","0.19470","181.04M","11.65%"
"Aug 27, 2017","0.20170","0.20970","0.21040","0.19300","68.63M","-3.81%"
"Aug 26, 2017","0.20970","0.21670","0.23080","0.20690","58.37M","-3.23%"
"Aug 25, 2017","0.21670","0.21730","0.23090","0.20290","123.30M","-0.28%"
"Aug 24, 2017","0.21730","0.24570","0.28620","0.21240","244.13M","-11.56%"
"Aug 23, 2017","0.24570","0.24210","0.29770","0.21690","339.56M","1.49%"
"Aug 22, 2017","0.24210","0.19580","0.25980","0.17150","293.31M","23.65%"
"Aug 21, 2017","0.19580","0.15870","0.20810","0.15230","151.82M","23.38%"
"Aug 20, 2017","0.15870","0.15260","0.16110","0.14940","33.04M","4.00%"
"Aug 19, 2017","0.15260","0.15690","0.16160","0.14830","46.14M","-2.74%"
"Aug 18, 2017","0.15690","0.15780","0.17040","0.15180","66.86M","-0.57%"
"Aug 17, 2017","0.15780","0.16030","0.16100","0.15400","39.55M","-1.56%"
"Aug 16, 2017","0.16030","0.15770","0.16060","0.14890","53.98M","1.65%"
"Aug 15, 2017","0.15770","0.16830","0.16830","0.15300","65.52M","-6.30%"
"Aug 14, 2017","0.16830","0.16570","0.18010","0.16520","37.65M","1.57%"
"Aug 13, 2017","0.16570","0.17160","0.17210","0.15870","62.43M","-3.44%"
"Aug 12, 2017","0.17160","0.17780","0.18250","0.17070","40.43M","-3.49%"
"Aug 11, 2017","0.17780","0.18090","0.18400","0.17580","39.33M","-1.71%"
"Aug 10, 2017","0.18090","0.18410","0.18500","0.17840","33.72M","-1.74%"
"Aug 09, 2017","0.18410","0.19670","0.19670","0.18180","42.02M","-6.41%"
