"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","1.0048","1.0079","1.0079","1.0043","2.00M","0.26%"
"Dec 30, 2019","1.0021","1.0135","1.0139","1.0016","3.94M","-0.40%"
"Dec 29, 2019","1.0062","1.0041","1.0099","1.0041","2.05M","0.21%"
"Dec 28, 2019","1.0041","1.0021","1.0051","1.0021","3.99M","0.21%"
"Dec 27, 2019","1.0020","1.0052","1.0055","1.0008","5.03M","-0.14%"
"Dec 26, 2019","1.0034","1.0057","1.0060","1.0027","4.72M","-0.02%"
"Dec 25, 2019","1.0036","1.0041","1.0084","1.0032","3.03M","-0.05%"
"Dec 24, 2019","1.0041","1.0034","1.0065","1.0031","3.88M","0.06%"
"Dec 23, 2019","1.0034","1.0095","1.0128","1.0031","4.25M","-0.60%"
"Dec 22, 2019","1.0095","1.0114","1.0198","1.0088","1.76M","0.29%"
"Dec 21, 2019","1.0066","1.0050","1.0125","1.0050","3.09M","0.15%"
"Dec 20, 2019","1.0050","1.0054","1.0113","1.0046","3.69M","-0.05%"
"Dec 19, 2019","1.0055","1.0053","1.0082","1.0046","5.07M","0.00%"
"Dec 18, 2019","1.0055","1.0068","1.0069","1.0049","7.36M","0.01%"
"Dec 17, 2019","1.0054","1.0038","1.0065","1.0038","13.46M","0.15%"
"Dec 16, 2019","1.0039","1.0080","1.0109","1.0032","12.31M","-0.40%"
"Dec 15, 2019","1.0080","1.0081","1.0139","1.0076","2.30M","-0.01%"
"Dec 14, 2019","1.0081","1.0067","1.0122","1.0058","2.01M","0.27%"
"Dec 13, 2019","1.0053","1.0031","1.0096","1.0031","4.14M","0.22%"
"Dec 12, 2019","1.0031","1.0023","1.0074","1.0023","6.33M","0.08%"
"Dec 11, 2019","1.0023","1.0031","1.0092","1.0022","6.08M","-0.09%"
"Dec 10, 2019","1.0032","1.0044","1.0088","1.0029","5.03M","-0.12%"
"Dec 09, 2019","1.0044","1.0079","1.0091","1.0043","4.97M","-0.32%"
"Dec 08, 2019","1.0076","1.0115","1.0122","1.0070","3.25M","-0.16%"
"Dec 07, 2019","1.0093","1.0052","1.0108","1.0052","1.85M","0.40%"
"Dec 06, 2019","1.0052","1.0048","1.0102","1.0044","6.98M","0.04%"
"Dec 05, 2019","1.0048","1.0054","1.0072","1.0042","4.27M","-0.06%"
"Dec 04, 2019","1.0054","1.0066","1.0136","1.0052","9.08M","-0.12%"
"Dec 03, 2019","1.0066","1.0082","1.0118","1.0060","3.68M","-0.18%"
"Dec 02, 2019","1.0084","1.0097","1.0111","1.0078","2.68M","0.05%"
"Dec 01, 2019","1.0079","1.0089","1.0134","1.0073","3.39M","-0.09%"
"Nov 30, 2019","1.0088","1.0066","1.0112","1.0066","1.80M","0.23%"
"Nov 29, 2019","1.0066","1.0057","1.0091","1.0057","5.55M","0.08%"
"Nov 28, 2019","1.0058","1.0047","1.0072","1.0047","5.13M","0.11%"
"Nov 27, 2019","1.0047","1.0059","1.0086","1.0046","6.57M","-0.12%"
"Nov 26, 2019","1.0059","1.0067","1.0083","1.0049","5.90M","-0.08%"
"Nov 25, 2019","1.0067","1.0090","1.0154","1.0063","16.34M","-0.23%"
"Nov 24, 2019","1.0090","1.0084","1.0111","1.0080","8.00M","0.22%"
"Nov 23, 2019","1.0068","1.0062","1.0078","1.0062","7.36M","0.07%"
"Nov 22, 2019","1.0062","1.0041","1.0073","1.0041","13.09M","0.20%"
"Nov 21, 2019","1.0041","1.0030","1.0079","1.0030","8.37M","0.11%"
"Nov 20, 2019","1.0030","1.0078","1.0084","1.0028","3.92M","-0.17%"
"Nov 19, 2019","1.0047","1.0023","1.0076","1.0023","3.77M","0.25%"
"Nov 18, 2019","1.0022","1.0058","1.0071","1.0017","5.72M","-0.36%"
"Nov 17, 2019","1.0058","1.0040","1.0070","1.0040","3.08M","0.18%"
"Nov 16, 2019","1.0040","1.0049","1.0052","1.0036","3.88M","0.11%"
"Nov 15, 2019","1.0028","1.0014","1.0042","1.0014","4.73M","0.14%"
"Nov 14, 2019","1.0014","1.0060","1.0060","1.0007","4.76M","-0.03%"
"Nov 13, 2019","1.0017","1.0018","1.0045","1.0013","4.20M","-0.01%"
"Nov 12, 2019","1.0018","1.0027","1.0041","1.0012","4.03M","-0.08%"
"Nov 11, 2019","1.0027","1.0039","1.0048","1.0022","3.11M","-0.12%"
"Nov 10, 2019","1.0039","1.0039","1.0050","1.0033","3.51M","0.11%"
"Nov 09, 2019","1.0028","1.0005","1.0030","1.0005","3.06M","0.22%"
"Nov 08, 2019","1.0005","1.0013","1.0020","0.9994","9.00M","-0.02%"
"Nov 07, 2019","1.0007","1.0016","1.0028","1.0002","5.64M","-0.09%"
"Nov 06, 2019","1.0016","1.0022","1.0050","1.0011","3.57M","-0.06%"
"Nov 05, 2019","1.0022","1.0047","1.0050","1.0016","4.61M","-0.13%"
"Nov 04, 2019","1.0035","1.0032","1.0043","1.0026","7.24M","0.03%"
"Nov 03, 2019","1.0033","1.0036","1.0047","1.0029","2.67M","-0.04%"
"Nov 02, 2019","1.0036","1.0048","1.0050","1.0034","4.24M","-0.02%"
"Nov 01, 2019","1.0038","1.0034","1.0045","1.0034","6.53M","0.04%"
"Oct 31, 2019","1.0034","1.0035","1.0044","1.0032","7.33M","-0.01%"
"Oct 30, 2019","1.0035","1.0035","1.0042","1.0023","6.93M","0.00%"
"Oct 29, 2019","1.0035","1.0025","1.0038","1.0015","4.28M","0.10%"
"Oct 28, 2019","1.0025","1.0030","1.0048","1.0024","7.38M","-0.05%"
"Oct 27, 2019","1.0030","1.0042","1.0049","1.0024","5.47M","-0.12%"
"Oct 26, 2019","1.0042","1.0043","1.0067","1.0018","15.52M","0.00%"
"Oct 25, 2019","1.0043","1.0085","1.0110","1.0040","9.87M","-0.23%"
"Oct 24, 2019","1.0066","1.0068","1.0073","1.0050","4.83M","0.11%"
"Oct 23, 2019","1.0055","1.0047","1.0082","1.0045","9.20M","0.08%"
"Oct 22, 2019","1.0047","1.0058","1.0086","1.0043","4.08M","-0.12%"
"Oct 21, 2019","1.0058","1.0097","1.0114","1.0054","3.79M","-0.38%"
"Oct 20, 2019","1.0097","1.0061","1.0106","1.0061","1.84M","0.36%"
"Oct 19, 2019","1.0061","1.0058","1.0085","1.0058","3.94M","0.03%"
"Oct 18, 2019","1.0058","1.0079","1.0087","1.0053","4.57M","0.17%"
"Oct 17, 2019","1.0041","1.0050","1.0058","1.0038","3.43M","0.08%"
"Oct 16, 2019","1.0033","1.0067","1.0068","1.0028","4.48M","-0.11%"
"Oct 15, 2019","1.0045","1.0031","1.0072","1.0031","3.60M","0.14%"
"Oct 14, 2019","1.0031","1.0091","1.0095","1.0026","3.20M","-0.06%"
"Oct 13, 2019","1.0037","1.0099","1.0102","1.0035","3.00M","-0.23%"
"Oct 12, 2019","1.0059","1.0030","1.0069","1.0030","1.82M","0.30%"
"Oct 11, 2019","1.0029","1.0038","1.0055","1.0022","6.84M","-0.08%"
"Oct 10, 2019","1.0038","1.0037","1.0042","1.0029","5.47M","0.08%"
"Oct 09, 2019","1.0030","1.0049","1.0055","1.0021","10.02M","-0.09%"
"Oct 08, 2019","1.0039","1.0048","1.0061","1.0036","4.98M","-0.08%"
"Oct 07, 2019","1.0047","1.0065","1.0101","1.0045","6.20M","-0.17%"
"Oct 06, 2019","1.0065","1.0075","1.0108","1.0061","3.49M","-0.10%"
"Oct 05, 2019","1.0075","1.0060","1.0091","1.0060","2.26M","0.15%"
"Oct 04, 2019","1.0060","1.0085","1.0097","1.0057","3.40M","-0.02%"
"Oct 03, 2019","1.0062","1.0067","1.0081","1.0049","3.44M","-0.04%"
"Oct 02, 2019","1.0066","1.0055","1.0099","1.0055","4.69M","0.11%"
"Oct 01, 2019","1.0055","1.0058","1.0068","1.0053","5.70M","-0.02%"
"Sep 30, 2019","1.0058","1.0055","1.0070","1.0052","9.81M","0.03%"
"Sep 29, 2019","1.0055","1.0043","1.0057","1.0037","4.89M","0.13%"
"Sep 28, 2019","1.0041","1.0042","1.0061","1.0028","7.64M","-0.01%"
"Sep 27, 2019","1.0042","1.0048","1.0063","1.0039","9.04M","-0.05%"
"Sep 26, 2019","1.0047","1.0044","1.0065","1.0031","6.91M","0.03%"
"Sep 25, 2019","1.0044","1.0039","1.0061","1.0030","8.92M","0.05%"
"Sep 24, 2019","1.0039","1.0031","1.0182","0.9991","35.20M","0.21%"
"Sep 23, 2019","1.0017","1.0035","1.0044","1.0013","5.31M","-0.17%"
"Sep 22, 2019","1.0035","1.0037","1.0045","1.0029","3.27M","0.02%"
"Sep 21, 2019","1.0033","1.0026","1.0047","1.0026","4.38M","0.06%"
"Sep 20, 2019","1.0027","1.0041","1.0054","1.0024","4.21M","-0.14%"
