"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2018","6.11","5.89","6.24","5.84","2.38M","3.56%"
"Dec 30, 2018","5.89","5.66","5.90","5.56","1.40M","4.34%"
"Dec 29, 2018","5.65","5.88","5.99","5.61","1.23M","-3.87%"
"Dec 28, 2018","5.88","5.17","5.89","5.11","1.50M","13.70%"
"Dec 27, 2018","5.17","5.62","5.65","5.10","1.15M","-7.69%"
"Dec 26, 2018","5.60","5.45","5.68","5.38","1.35M","2.89%"
"Dec 25, 2018","5.44","6.10","6.10","5.32","1.44M","-10.78%"
"Dec 24, 2018","6.10","5.96","6.47","5.93","2.06M","2.37%"
"Dec 23, 2018","5.96","5.83","6.13","5.77","1.88M","2.13%"
"Dec 22, 2018","5.83","5.47","5.88","5.39","1.77M","6.66%"
"Dec 21, 2018","5.47","5.66","5.78","5.32","1.59M","-3.38%"
"Dec 20, 2018","5.66","5.36","5.79","5.24","2.16M","5.65%"
"Dec 19, 2018","5.36","5.54","5.83","5.29","1.80M","-3.20%"
"Dec 18, 2018","5.54","5.05","5.54","4.91","1.91M","9.70%"
"Dec 17, 2018","5.05","4.62","5.12","4.60","1.51M","9.33%"
"Dec 16, 2018","4.62","4.55","4.70","4.51","1.07M","1.50%"
"Dec 15, 2018","4.55","4.52","4.60","4.45","969.29K","0.65%"
"Dec 14, 2018","4.52","4.64","4.75","4.43","946.23K","-2.58%"
"Dec 13, 2018","4.64","4.98","4.99","4.56","1.00M","-6.77%"
"Dec 12, 2018","4.98","4.88","5.14","4.74","1.20M","4.72%"
"Dec 11, 2018","4.75","4.63","4.87","4.50","1.18M","2.67%"
"Dec 10, 2018","4.63","4.77","4.94","4.49","928.56K","-2.90%"
"Dec 09, 2018","4.77","4.63","5.00","4.52","1.51M","3.01%"
"Dec 08, 2018","4.63","4.52","4.80","4.30","1.26M","2.45%"
"Dec 07, 2018","4.52","4.90","4.98","4.13","2.25M","-7.90%"
"Dec 06, 2018","4.90","6.06","6.10","4.90","3.03M","-19.08%"
"Dec 05, 2018","6.06","5.89","6.62","5.73","4.21M","2.83%"
"Dec 04, 2018","5.89","5.13","6.35","5.10","2.24M","14.89%"
"Dec 03, 2018","5.13","5.28","5.29","5.01","674.85K","-2.78%"
"Dec 02, 2018","5.28","5.28","5.43","5.20","852.86K","-0.14%"
"Dec 01, 2018","5.28","5.11","5.39","5.01","924.16K","3.17%"
"Nov 30, 2018","5.12","5.38","5.45","4.95","708.62K","-4.80%"
"Nov 29, 2018","5.38","5.35","5.63","5.14","1.02M","0.57%"
"Nov 28, 2018","5.35","4.99","5.46","4.99","1.14M","7.22%"
"Nov 27, 2018","4.99","5.04","5.04","4.71","702.11K","-1.05%"
"Nov 26, 2018","5.04","5.29","5.40","4.76","852.94K","-4.55%"
"Nov 25, 2018","5.28","5.20","5.37","4.54","1.00M","1.55%"
"Nov 24, 2018","5.20","5.65","5.80","4.79","919.71K","-7.99%"
"Nov 23, 2018","5.65","5.78","5.84","5.48","600.26K","-1.70%"
"Nov 22, 2018","5.75","6.29","6.37","5.75","627.77K","-8.57%"
"Nov 21, 2018","6.29","5.92","6.32","5.65","842.73K","5.86%"
"Nov 20, 2018","5.94","6.70","6.90","5.66","1.63M","-11.38%"
"Nov 19, 2018","6.70","8.08","8.09","6.67","1.05M","-17.05%"
"Nov 18, 2018","8.08","7.85","8.14","7.83","605.11K","2.97%"
"Nov 17, 2018","7.85","8.01","8.02","7.69","752.86K","-2.00%"
"Nov 16, 2018","8.01","8.38","8.38","7.86","902.84K","-4.37%"
"Nov 15, 2018","8.38","8.68","8.73","7.80","821.92K","-3.53%"
"Nov 14, 2018","8.68","9.39","9.42","8.34","671.74K","-7.57%"
"Nov 13, 2018","9.39","9.48","9.59","9.36","658.79K","-0.89%"
"Nov 12, 2018","9.48","9.54","9.59","9.33","724.75K","-0.75%"
"Nov 11, 2018","9.55","9.59","9.62","9.37","753.97K","-0.42%"
"Nov 10, 2018","9.59","9.62","9.68","9.57","782.36K","-0.27%"
"Nov 09, 2018","9.62","9.69","9.75","9.53","737.30K","-0.75%"
"Nov 08, 2018","9.69","9.89","9.92","9.66","797.78K","-2.04%"
"Nov 07, 2018","9.89","9.88","9.98","9.81","867.19K","0.25%"
"Nov 06, 2018","9.86","9.73","9.88","9.67","884.71K","1.35%"
"Nov 05, 2018","9.73","9.82","9.83","9.66","836.65K","-0.87%"
"Nov 04, 2018","9.82","9.59","9.90","9.50","934.58K","2.49%"
"Nov 03, 2018","9.58","9.65","9.71","9.49","814.17K","-0.71%"
"Nov 02, 2018","9.65","9.62","9.72","9.55","849.51K","0.30%"
"Nov 01, 2018","9.62","9.49","9.65","9.44","792.43K","1.36%"
"Oct 31, 2018","9.49","9.45","9.55","9.29","709.70K","0.63%"
"Oct 30, 2018","9.43","9.44","9.54","9.40","718.68K","-0.13%"
"Oct 29, 2018","9.44","9.70","9.73","9.38","786.96K","-2.63%"
"Oct 28, 2018","9.70","9.73","9.76","9.64","841.91K","-0.26%"
"Oct 27, 2018","9.73","9.83","9.83","9.70","851.50K","-1.06%"
"Oct 26, 2018","9.83","9.80","9.91","9.75","1.02M","0.30%"
"Oct 25, 2018","9.80","9.87","9.93","9.75","1.01M","-0.68%"
"Oct 24, 2018","9.87","9.92","9.99","9.86","1.04M","-0.54%"
"Oct 23, 2018","9.92","9.88","10.04","9.82","1.22M","0.41%"
"Oct 22, 2018","9.88","9.92","9.98","9.81","1.04M","-0.41%"
"Oct 21, 2018","9.92","9.91","10.02","9.87","1.20M","0.00%"
"Oct 20, 2018","9.92","9.90","10.00","9.82","1.16M","0.22%"
"Oct 19, 2018","9.90","9.92","9.98","9.83","1.11M","-0.22%"
"Oct 18, 2018","9.92","10.23","10.27","9.81","1.26M","-3.05%"
"Oct 17, 2018","10.23","10.27","10.35","10.10","1.40M","-0.35%"
"Oct 16, 2018","10.27","10.55","10.56","10.11","1.28M","-2.78%"
"Oct 15, 2018","10.56","9.59","10.98","9.52","2.34M","10.16%"
"Oct 14, 2018","9.59","9.68","9.78","9.53","963.46K","-0.95%"
"Oct 13, 2018","9.68","9.55","9.73","9.54","1.06M","1.00%"
"Oct 12, 2018","9.59","9.36","9.75","9.25","1.04M","2.51%"
"Oct 11, 2018","9.35","10.40","10.40","9.23","1.02M","-10.06%"
"Oct 10, 2018","10.40","10.42","10.44","10.25","1.03M","-0.25%"
"Oct 09, 2018","10.42","10.57","10.63","10.28","1.06M","-1.40%"
"Oct 08, 2018","10.57","10.59","10.69","10.50","1.24M","-0.14%"
"Oct 07, 2018","10.59","10.41","10.60","10.27","1.29M","1.70%"
"Oct 06, 2018","10.41","10.68","10.75","10.33","1.22M","-2.51%"
"Oct 05, 2018","10.68","10.30","10.77","10.23","1.63M","4.06%"
