"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2018","131.90","138.45","138.72","129.61","3.23M","-4.73%"
"Dec 30, 2018","138.45","133.64","139.76","129.51","4.35M","3.57%"
"Dec 29, 2018","133.67","136.59","146.02","130.71","5.92M","-2.15%"
"Dec 28, 2018","136.61","114.57","137.22","113.14","5.94M","19.25%"
"Dec 27, 2018","114.56","130.06","131.51","112.59","4.83M","-11.92%"
"Dec 26, 2018","130.06","128.39","136.13","123.39","5.11M","1.30%"
"Dec 25, 2018","128.39","139.06","139.74","122.14","7.04M","-7.79%"
"Dec 24, 2018","139.23","129.60","158.27","129.48","9.39M","7.43%"
"Dec 23, 2018","129.60","115.85","132.46","115.79","6.66M","11.88%"
"Dec 22, 2018","115.84","108.18","115.87","105.97","3.30M","7.07%"
"Dec 21, 2018","108.18","114.60","118.67","105.59","5.18M","-5.61%"
"Dec 20, 2018","114.61","99.36","116.35","98.63","6.34M","15.35%"
"Dec 19, 2018","99.37","100.68","107.89","98.57","5.58M","-1.28%"
"Dec 18, 2018","100.66","94.37","101.33","91.96","4.66M","6.66%"
"Dec 17, 2018","94.37","84.72","96.99","84.61","5.37M","11.40%"
"Dec 16, 2018","84.72","83.90","87.62","83.89","3.61M","0.97%"
"Dec 15, 2018","83.90","83.81","85.07","81.97","3.04M","0.11%"
"Dec 14, 2018","83.81","86.31","87.00","82.28","3.84M","-2.90%"
"Dec 13, 2018","86.31","89.62","90.72","84.83","3.94M","-3.69%"
"Dec 12, 2018","89.62","87.72","91.33","87.19","3.46M","1.46%"
"Dec 11, 2018","88.32","90.18","91.94","86.25","4.38M","-2.05%"
"Dec 10, 2018","90.17","93.62","95.30","88.68","4.15M","-3.68%"
"Dec 09, 2018","93.62","90.56","98.76","88.82","4.88M","3.37%"
"Dec 08, 2018","90.57","93.28","97.98","84.75","5.68M","-2.90%"
"Dec 07, 2018","93.27","90.85","96.99","77.65","7.73M","2.65%"
"Dec 06, 2018","90.86","102.36","104.42","90.57","5.06M","-11.21%"
"Dec 05, 2018","102.33","110.14","110.70","102.24","3.04M","-7.04%"
"Dec 04, 2018","110.09","108.66","113.16","106.13","2.48M","1.31%"
"Dec 03, 2018","108.66","116.40","127.08","106.79","2.66M","-6.65%"
"Dec 02, 2018","116.41","118.23","120.71","116.08","2.10M","-1.54%"
"Dec 01, 2018","118.23","113.76","120.45","111.62","2.87M","3.91%"
"Nov 30, 2018","113.77","117.86","119.80","111.73","4.27M","-3.46%"
"Nov 29, 2018","117.85","122.75","123.77","114.81","4.00M","-3.99%"
"Nov 28, 2018","122.74","111.19","126.60","111.19","5.41M","10.40%"
"Nov 27, 2018","111.18","110.08","113.67","102.84","5.42M","1.00%"
"Nov 26, 2018","110.08","118.03","120.56","106.44","5.09M","-6.75%"
"Nov 25, 2018","118.04","114.42","121.10","102.80","6.74M","3.15%"
"Nov 24, 2018","114.43","124.63","129.34","111.79","3.81M","-8.19%"
"Nov 23, 2018","124.64","126.17","128.08","119.76","4.47M","-1.17%"
"Nov 22, 2018","126.12","137.75","139.74","125.93","2.92M","-8.42%"
"Nov 21, 2018","137.72","132.90","140.86","126.84","5.12M","3.61%"
"Nov 20, 2018","132.92","150.27","153.55","127.30","7.69M","-11.46%"
"Nov 19, 2018","150.12","178.76","178.93","146.86","5.23M","-15.97%"
"Nov 18, 2018","178.65","176.53","182.07","176.06","1.59M","1.20%"
"Nov 17, 2018","176.53","176.99","177.93","174.94","44.19M","-0.27%"
