"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"395","RT @BitShiba: 100,000,000 $SHIB Satoshi To 2 Lucky People Who Retweet and Follow

<U+2705>RT + <U+2764><U+FE0F> follow me",FALSE,0,NA,2021-12-10 05:33:23,FALSE,NA,"1469178407846043648",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RockAlpha1",1003,TRUE,FALSE,NA,NA
"396","RT @ShibaInuHodler: $Shib to $0.001 End of the year!!<U+0001F680>

YES          YES           YES 
<U+2B07><U+FE0F>             <U+2B07><U+FE0F>             <U+2B07><U+FE0F>",FALSE,0,NA,2021-12-10 05:33:21,FALSE,NA,"1469178401789464579",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","JamesMc36157926",582,TRUE,FALSE,NA,NA
"397","RT @WatcherGuru: Top 3 Mentioned crypto hashtags in the past 24 hours:

1. $SHIB
2. #SAITAMA
3. $ETH",FALSE,0,NA,2021-12-10 05:33:21,FALSE,NA,"1469178400346628097",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SoOoli15",121,TRUE,FALSE,NA,NA
"398","RT @ShibInform: If you hold 15m+ $SHIB, Retweet!<U+0001F503><U+0001F4AF><U+0001F680>",FALSE,0,NA,2021-12-10 05:33:19,FALSE,NA,"1469178393358835714",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MohammadHarisJ",235,TRUE,FALSE,NA,NA
"399","$SHIB pumped X52 after his SIGNAL. If you're still looking for gem, you should subscribe him - @BullCryptoPR 

$btc… https://t.co/nxkTRJJiSc",FALSE,0,NA,2021-12-10 05:33:18,TRUE,NA,"1469178390011916291",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Dynamic30107200",0,FALSE,FALSE,NA,NA
"400","#BTC short is still going nice!

$BTC $SOL $LTC $SHIB $XVG $KAR $SC $EOS $BAND $ETH $ADA $XRP $DOT $LINK $DOGE… https://t.co/7rZ8oD6TVi",FALSE,0,NA,2021-12-10 05:33:18,TRUE,NA,"1469178389755879431",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","mctsonline",0,FALSE,FALSE,NA,NA
"401","RT @WhaleInsider: If $SHIB reaches $0.00004 in 24 hours I’m giving away 1 billion #Shib to everyone who follows and retweets. Let’s go #Shi…",FALSE,0,NA,2021-12-10 05:33:16,FALSE,NA,"1469178381241438210",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Kaif10047218",5178,TRUE,FALSE,NA,NA
"402","RT @WatcherGuru: Top 3 Mentioned crypto hashtags in the past 24 hours:

1. $SHIB
2. #SAITAMA
3. $ETH",FALSE,0,NA,2021-12-10 05:33:16,FALSE,NA,"1469178378682916864",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","fokaaya_nasir",121,TRUE,FALSE,NA,NA
"403","RT @ShibaInuHodler: DO YOU WANT $SHIB TO GET LISTED ON @RobinhoodApp!<U+0001F680>

YES        YES            YES 
<U+2B07><U+FE0F>             <U+2B07><U+FE0F>             <U+2B07><U+FE0F>",FALSE,0,NA,2021-12-10 05:33:15,FALSE,NA,"1469178377995264008",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Zahiral28058692",290,TRUE,FALSE,NA,NA
"404","RT @Shibzone: If I sent u 50,000,000 $Shib randomly are you selling ??<U+0001F440>",FALSE,0,NA,2021-12-10 05:33:15,FALSE,NA,"1469178376543879171",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Eg6typeSR",95,TRUE,FALSE,NA,NA
