"","Date","AssetID","Price","Open","High","Low","Vol.","Change.."
"1",2020-12-31 05:30:00,"btc",28933,28880,29133,28358,12220,0.0018
"2",2020-12-30 05:30:00,"btc",28880,27316,28892,27316,10510,0.0573
"3",2020-12-29 05:30:00,"btc",27315,27058,27315,25923,8920,0.0095
"4",2020-12-28 05:30:00,"btc",27058,26241,27308,26241,7600,0.0311
"5",2020-12-27 05:30:00,"btc",26241,26410,28051.1,26241,17960,-0.0065
"6",2020-12-26 05:30:00,"btc",26412,24717,26577,24566,13150,0.0686
"7",2020-12-25 05:30:00,"btc",24717,23743,24717,23491,13780,0.0414
"8",2020-12-24 05:30:00,"btc",23735,23234,23735,22860,4750,0.0216
"9",2020-12-23 05:30:00,"btc",23234,23805,23916,22917,12070,-0.024
"10",2020-12-22 05:30:00,"btc",23805,22701,23805,22489.7,7410,0.0486
"11",2020-12-21 05:30:00,"btc",22701,23432.7,23901,22483,14180,-0.031
"12",2020-12-20 05:30:00,"btc",23427,23804,24099,23331.7,9600,-0.0158
"13",2020-12-19 05:30:00,"btc",23804,23127,24058,22966,9670,0.0293
"14",2020-12-18 05:30:00,"btc",23127,22806.6,23142,22544,7280,0.0141
"15",2020-12-17 05:30:00,"btc",22806.6,21322,23492,21322,22870,0.0696
"16",2020-12-16 05:30:00,"btc",21322,19459,21322,19388,21070,0.0957
"17",2020-12-15 05:30:00,"btc",19459,19282,19548,19135,6930,0.0092
"18",2020-12-14 05:30:00,"btc",19281,19180,19281,19076,2530,0.0053
"19",2020-12-13 05:30:00,"btc",19180,18818,19338.1,18747,4830,0.0196
"20",2020-12-12 05:30:00,"btc",18810.6,18050,18821,18050,3680,0.0421
"21",2020-12-11 05:30:00,"btc",18050,18260,18260,17764,6570,-0.0115
"22",2020-12-10 05:30:00,"btc",18260,18560,18560,18155,3660,-0.0162
"23",2020-12-09 05:30:00,"btc",18560,18337,18630,17827,9770,0.0123
"24",2020-12-08 05:30:00,"btc",18335,19196,19299,18335,9620,-0.0449
"25",2020-12-07 05:30:00,"btc",19196,19410,19410,18959.4,2290,-0.011
"26",2020-12-06 05:30:00,"btc",19410,19157,19410,19015.6,4330,0.0132
"27",2020-12-05 05:30:00,"btc",19157,18657,19157,18657,3660,0.0268
"28",2020-12-04 05:30:00,"btc",18657,19452,19452,18657,8650,-0.0406
"29",2020-12-03 05:30:00,"btc",19447,19241,19560,18999.4,5250,0.0107
"30",2020-12-02 05:30:00,"btc",19241,18807,19275,18538,7630,0.0231
"31",2020-12-01 05:30:00,"btc",18807,19695,19733,18727,21940,-0.0447
"32",2020-11-30 05:30:00,"btc",19686,18196,19723,18196,14950,0.0819
"33",2020-11-29 05:30:00,"btc",18196,17746,18212,17579.2,3990,0.0254
"34",2020-11-28 05:30:00,"btc",17746,17169.3,17800,16997,5750,0.0336
"35",2020-11-27 05:30:00,"btc",17169.3,17211.7,17492,16614.9,11210,-0.0029
"36",2020-11-26 05:30:00,"btc",17219,18727,18824,16592,34340,-0.0807
"37",2020-11-25 05:30:00,"btc",18730,19134.8,19303,18730,13480,-0.0212
"38",2020-11-24 05:30:00,"btc",19134.8,18373,19349,18357,14940,0.0415
"39",2020-11-23 05:30:00,"btc",18373,18399,18655,18158,8760,-0.0014
"40",2020-11-22 05:30:00,"btc",18399,18660,18668,18122,9100,-0.014
"41",2020-11-21 05:30:00,"btc",18660,18669,18944.5,18521,6620,-5e-04
"42",2020-11-20 05:30:00,"btc",18669,17810,18699.7,17810,7970,0.0482
"43",2020-11-19 05:30:00,"btc",17810,17773,18140,17486,5570,0.0021
"44",2020-11-18 05:30:00,"btc",17773,17674.9,18212,17378.6,17520,0.0056
"45",2020-11-17 05:30:00,"btc",17674.9,16710,17740,16627,12210,0.0577
"46",2020-11-16 05:30:00,"btc",16710,15962.2,16827.6,15906,6520,0.0468
"47",2020-11-15 05:30:00,"btc",15962.2,16057,16095,15871,2560,-0.006
"48",2020-11-14 05:30:00,"btc",16058.3,16310,16310,15833,5090,-0.0154
"49",2020-11-13 05:30:00,"btc",16310,16296.2,16405,16079,7700,0.001
"50",2020-11-12 05:30:00,"btc",16294,15710,16294,15656,12300,0.0372
"51",2020-11-11 05:30:00,"btc",15710,15312,15911.6,15312,6940,0.026
"52",2020-11-10 05:30:00,"btc",15312,15329,15402,15177,3740,-0.0011
"53",2020-11-09 05:30:00,"btc",15329,15501,15687,15063.7,8950,-0.0111
"54",2020-11-08 05:30:00,"btc",15501,14844.1,15554.2,14844.1,6470,0.0443
"55",2020-11-07 05:30:00,"btc",14844.1,15571.7,15610,14734,14370,-0.0467
"56",2020-11-06 05:30:00,"btc",15571.7,15568,15876,15441,12100,-1e-04
"57",2020-11-05 05:30:00,"btc",15574,14160,15574,14160,15900,0.0999
"58",2020-11-04 05:30:00,"btc",14160,14025,14160,13643,10100,0.0096
"59",2020-11-03 05:30:00,"btc",14025,13562,14025,13401,5810,0.0341
